id,sexo,edad,nivel,region,zona,tipo_establecimiento,rendimiento_promedio,rendimiento_matematicas,rendimiento_lenguaje,repitencia,trabaja,horas_trabajo_semana,particip_extraescolar,acceso_internet_hogar,nivel_ses,estructura_familiar,tiempo_traslado_min,apoyo_psicopedagogico,ema_i01,ema_i02,ema_i03,ema_i04,ema_i05,ema_i06,ema_i07,ema_i08,ema_i09,ema_i10,ema_i11,ema_i12,ema_i13,ema_i14,ema_i15,ema_i16,ema_i17,ema_i18,ema_intrinseca,ema_extrinseca,ema_desmotivacion,ema_total,eaa_i01,eaa_i02,eaa_i03,eaa_i04,eaa_i05,eaa_i06,eaa_i07,eaa_i08,eaa_i09,eaa_i10,eaa_i11,eaa_i12,eaa_i13,eaa_i14,eaa_tareas,eaa_social,eaa_total,ece_i01,ece_i02,ece_i03,ece_i04,ece_i05,ece_i06,ece_i07,ece_i08,ece_i09,ece_i10,ece_i11,ece_i12,ece_i13,ece_i14,ece_i15,ece_i16,ece_docente,ece_pares,ece_institucional,ece_total,iesa_i01,iesa_i02,iesa_i03,iesa_i04,iesa_i05,iesa_i06,iesa_i07,iesa_i08,iesa_i09,iesa_i10,iesa_i11,iesa_i12,iesa_evaluativo,iesa_carga,iesa_total
EDU-122,Hombre,18,2° Medio,Otra,Urbano,Municipal,4.3,3.2,3.9,No,No,0,No,No,Alto,Monoparental,5,No,2,2,2,2,3,1,2,2,2,2,2,2,1,2,3,3,2,3,2,2,2.3333333333333335,2.111111111111111,2,1,3,2,4,2,3,4,3,3,2,3,2,3,2.4285714285714284,2.857142857142857,2.642857142857143,2,2,3,2,2,2,2,2,2,2,3,2,3,4,3,1,2.1666666666666665,2.2,2.6,2.3125,3,4,3,3,4,3,2,3,2,2,2,3,3.3333333333333335,2.3333333333333335,2.8333333333333335
EDU-123,Hombre,15,3° Medio,RM,Urbano,Part. Subvencionado,4.8,2.9,3.2,No,No,0,Sí,Sí,Bajo,Monoparental,5,No,3,1,2,2,2,2,3,2,2,3,1,3,1,1,2,1,3,3,2,2.3333333333333335,1.8333333333333333,2.0555555555555554,3,3,2,3,3,2,3,4,2,3,3,3,3,3,2.7142857142857144,3,2.857142857142857,4,4,2,3,3,2,2,4,4,2,2,3,4,2,2,2,3,2.8,2.6,2.8125,3,3,3,3,2,2,2,1,2,3,2,2,2.6666666666666665,2,2.3333333333333335
EDU-124,Hombre,16,3° Medio,RM,Urbano,Municipal,4.5,3.2,4.5,Sí,No,0,Sí,Sí,Bajo,Otra,16,No,2,2,2,1,2,2,2,4,3,4,3,4,2,3,3,2,2,1,1.8333333333333333,3.3333333333333335,2.1666666666666665,2.4444444444444446,2,3,3,3,2,2,2,2,2,3,2,3,2,2,2.4285714285714284,2.2857142857142856,2.357142857142857,3,2,2,3,3,1,1,2,2,2,1,2,2,1,2,1,2.3333333333333335,1.6,1.6,1.875,4,2,2,3,2,3,3,2,3,2,2,1,2.6666666666666665,2.1666666666666665,2.4166666666666665
EDU-125,Mujer,18,1° Medio,RM,Urbano,Municipal,6,6.6,6.5,No,No,0,Sí,Sí,Alto,Monoparental,32,No,2,3,3,3,4,3,2,3,2,2,3,2,3,3,4,2,3,2,3,2.3333333333333335,2.8333333333333335,2.7222222222222223,3,3,3,1,2,3,2,3,3,3,2,4,3,3,2.4285714285714284,3,2.7142857142857144,3,2,3,4,3,3,1,1,1,3,1,4,3,2,3,3,3,1.4,3,2.5,1,2,1,2,2,1,1,2,1,1,1,1,1.5,1.1666666666666667,1.3333333333333333
EDU-126,Hombre,15,4° Medio,RM,Rural,Municipal,5.4,4.7,3.6,No,Sí,8,No,Sí,Bajo,Biparental,19,No,3,2,3,3,3,3,2,1,2,2,2,2,3,2,4,1,3,3,2.8333333333333335,1.8333333333333333,2.6666666666666665,2.4444444444444446,3,2,3,3,3,4,3,3,2,4,2,3,2,4,3,2.857142857142857,2.9285714285714284,2,2,3,2,2,3,1,1,2,2,1,2,2,2,3,1,2.3333333333333335,1.4,2,1.9375,4,3,3,2,2,4,2,2,3,2,3,1,3,2.1666666666666665,2.5833333333333335
EDU-127,Mujer,20,3° Medio,RM,Urbano,Municipal,5.8,4,5.2,No,Sí,4,Sí,Sí,Alto,Biparental,10,Sí,1,2,1,3,1,1,4,4,2,1,3,2,2,4,2,3,4,1,1.5,2.6666666666666665,2.6666666666666665,2.2777777777777777,3,4,3,2,2,4,2,4,3,4,3,3,4,3,2.857142857142857,3.4285714285714284,3.142857142857143,2,3,3,2,2,2,2,3,3,2,3,3,3,3,2,3,2.3333333333333335,2.6,2.8,2.5625,3,4,4,4,4,2,3,2,3,2,2,2,3.5,2.3333333333333335,2.9166666666666665
EDU-128,Hombre,19,4° Medio,Valparaíso,Urbano,Part. Pagado,6.1,5.9,NA,No,Sí,4,No,No,Bajo,Biparental,27,No,3,3,2,3,4,3,2,2,2,1,3,2,3,1,2,2,2,3,3,2,2.1666666666666665,2.388888888888889,2,3,3,2,3,2,2,3,4,3,2,2,3,3,2.4285714285714284,2.857142857142857,2.642857142857143,3,2,3,3,2,4,3,2,3,2,1,3,2,3,2,3,2.8333333333333335,2.2,2.6,2.5625,4,3,3,4,2,4,3,4,4,3,4,1,3.3333333333333335,3.1666666666666665,3.25
EDU-129,Mujer,15,1° Medio,RM,Urbano,Part. Pagado,5.8,4.4,5.5,No,Sí,6,Sí,Sí,Medio,Extendida,NA,No,3,2,3,4,3,2,1,2,3,3,4,2,2,1,2,2,2,1,2.8333333333333335,2.5,1.6666666666666667,2.3333333333333335,2,2,3,3,2,2,4,2,2,3,1,3,3,2,2.5714285714285716,2.2857142857142856,2.4285714285714284,3,2,4,2,3,3,2,2,2,2,3,2,2,3,3,3,2.8333333333333335,2.2,2.6,2.5625,1,3,2,1,1,2,3,2,2,2,3,2,1.6666666666666667,2.3333333333333335,2
EDU-130,Hombre,15,1° Medio,Biobío,Urbano,Municipal,4,2.5,3.7,Sí,No,0,Sí,Sí,Bajo,Otra,5,No,1,1,1,2,1,1,3,2,3,2,4,3,3,4,4,4,2,1,1.1666666666666667,2.8333333333333335,3,2.3333333333333335,2,3,4,2,2,3,2,2,3,2,1,2,4,4,2.5714285714285716,2.5714285714285716,2.5714285714285716,4,3,3,4,4,4,3,4,4,4,2,2,3,2,2,4,3.6666666666666665,3.4,2.6,3.25,2,2,1,1,1,2,4,3,3,4,4,2,1.5,3.3333333333333335,2.4166666666666665
EDU-131,Mujer,15,1° Medio,RM,Urbano,Municipal,3.5,2.5,3.8,No,No,0,Sí,Sí,Medio,Monoparental,10,No,2,1,1,2,2,2,2,1,2,2,1,3,3,2,3,3,3,2,1.6666666666666667,1.8333333333333333,2.6666666666666665,2.0555555555555554,3,2,3,3,3,3,2,3,4,2,4,3,2,2,2.7142857142857144,2.857142857142857,2.7857142857142856,3,3,4,3,2,3,2,1,1,1,3,2,2,3,2,2,3,1.6,2.2,2.3125,2,3,1,2,2,3,3,1,3,3,4,2,2.1666666666666665,2.6666666666666665,2.4166666666666665
EDU-132,Mujer,19,3° Medio,RM,Urbano,Part. Subvencionado,5.4,6.4,5.5,No,No,0,No,Sí,Bajo,Biparental,50,No,3,1,2,2,2,1,1,3,1,2,2,4,3,4,4,2,3,2,1.8333333333333333,2.1666666666666665,3,2.3333333333333335,2,3,2,2,2,3,2,3,2,2,3,2,3,3,2.2857142857142856,2.5714285714285716,2.4285714285714284,4,3,3,3,2,2,2,2,2,2,3,4,4,4,4,3,2.8333333333333335,2.2,3.8,2.9375,2,3,2,2,2,2,2,3,3,2,2,2,2.1666666666666665,2.3333333333333335,2.25
EDU-133,Hombre,15,2° Medio,RM,Rural,Part. Subvencionado,5.2,6.5,6.4,No,No,0,No,Sí,Bajo,Otra,50,No,3,3,3,4,4,3,2,2,3,1,3,3,1,2,3,1,2,2,3.3333333333333335,2.3333333333333335,1.8333333333333333,2.5,2,4,2,1,3,3,2,2,2,2,2,2,2,1,2.4285714285714284,1.8571428571428572,2.142857142857143,2,2,2,2,1,2,1,2,2,3,4,2,1,2,3,3,1.8333333333333333,2.4,2.2,2.125,1,2,1,1,2,1,2,2,2,3,3,1,1.3333333333333333,2.1666666666666665,1.75
EDU-134,Mujer,19,3° Medio,RM,Urbano,Municipal,3.7,4,2.6,No,No,NA,No,Sí,Medio,Extendida,24,No,3,2,3,3,3,1,2,2,3,1,2,3,2,2,2,3,3,3,2.5,2.1666666666666665,2.5,2.388888888888889,3,3,2,2,3,2,2,2,1,2,2,2,2,1,2.4285714285714284,1.7142857142857142,2.0714285714285716,3,3,3,4,3,2,1,2,1,2,1,1,2,2,2,2,3,1.4,1.8,2.125,1,1,2,3,2,3,1,3,3,2,3,3,2,2.5,2.25
EDU-135,Hombre,18,3° Medio,RM,Urbano,Part. Subvencionado,6.9,6.9,6.9,No,No,0,Sí,Sí,Medio,Monoparental,22,Sí,3,3,3,3,2,2,3,2,2,4,3,1,1,1,2,3,2,2,2.6666666666666665,2.5,1.8333333333333333,2.3333333333333335,4,4,4,4,2,4,4,4,2,2,2,3,3,4,3.7142857142857144,2.857142857142857,3.2857142857142856,4,4,4,4,3,4,4,4,4,4,3,3,2,3,2,3,3.8333333333333335,3.8,2.6,3.4375,2,3,2,3,3,2,2,3,3,4,2,3,2.5,2.8333333333333335,2.6666666666666665
EDU-136,Hombre,15,2° Medio,Biobío,Rural,Part. Subvencionado,6.9,6.9,7,No,No,0,No,Sí,Bajo,Biparental,43,No,3,2,1,2,2,2,2,2,3,2,2,3,2,3,2,2,3,4,2,2.3333333333333335,2.6666666666666665,2.3333333333333335,4,2,4,4,3,3,4,4,3,4,4,3,4,4,3.4285714285714284,3.7142857142857144,3.5714285714285716,2,3,3,2,2,2,3,3,4,3,2,3,3,3,3,3,2.3333333333333335,3,3,2.75,1,1,1,3,3,2,1,1,1,1,1,3,1.8333333333333333,1.3333333333333333,1.5833333333333333
EDU-137,Mujer,17,2° Medio,RM,Urbano,Part. Subvencionado,3.5,NA,2.1,No,No,0,No,No,Medio,Biparental,5,Sí,2,1,1,1,2,2,1,2,2,2,2,2,3,3,4,2,4,3,1.5,1.8333333333333333,3.1666666666666665,2.1666666666666665,3,3,2,2,2,3,3,2,3,4,3,2,3,2,2.5714285714285716,2.7142857142857144,2.642857142857143,2,3,1,1,2,2,2,2,2,2,1,3,3,3,3,4,1.8333333333333333,1.8,3.2,2.25,4,3,4,3,4,3,3,2,2,3,3,2,3.5,2.5,3
EDU-138,Hombre,19,4° Medio,Maule,Urbano,Part. Subvencionado,5.9,5.5,6.6,Sí,No,0,No,Sí,Bajo,Extendida,14,Sí,3,4,3,2,4,3,2,1,1,1,1,2,1,2,2,1,1,2,3.1666666666666665,1.3333333333333333,1.5,2,4,4,4,2,3,3,3,1,2,3,1,3,2,3,3.2857142857142856,2.142857142857143,2.7142857142857144,3,3,2,2,3,3,3,2,2,2,3,3,3,3,4,4,2.6666666666666665,2.4,3.4,2.8125,3,1,2,2,1,1,2,2,2,2,2,1,1.6666666666666667,1.8333333333333333,1.75
EDU-139,Mujer,14,4° Medio,RM,Urbano,Municipal,5,6.2,4.2,No,No,0,Sí,No,Medio,Biparental,5,No,3,3,3,3,4,2,1,1,1,1,2,2,1,1,1,2,2,2,3,1.3333333333333333,1.5,1.9444444444444444,3,3,3,3,3,2,4,4,2,3,3,3,4,4,3,3.2857142857142856,3.142857142857143,2,3,3,4,4,4,3,2,2,2,2,3,4,3,3,4,3.3333333333333335,2.2,3.4,3,3,3,3,4,3,3,3,2,3,4,3,2,3.1666666666666665,2.8333333333333335,3
EDU-140,Mujer,16,3° Medio,Maule,Urbano,Municipal,7,6.8,6.4,No,No,0,No,Sí,Bajo,Biparental,29,No,3,4,3,3,3,3,2,2,2,2,3,3,1,1,1,1,1,2,3.1666666666666665,2.3333333333333335,1.1666666666666667,2.2222222222222223,3,4,4,3,3,3,4,4,4,3,3,4,4,2,3.4285714285714284,3.4285714285714284,3.4285714285714284,3,4,3,4,3,4,3,3,3,4,3,4,4,2,3,4,3.5,3.2,3.4,3.375,3,3,2,3,2,3,3,1,2,1,3,3,2.6666666666666665,2.1666666666666665,2.4166666666666665
EDU-141,Hombre,14,3° Medio,Maule,Urbano,Part. Subvencionado,5.1,5.4,4.7,No,Sí,29,No,Sí,Alto,Monoparental,41,Sí,2,4,3,2,2,2,3,4,4,3,2,1,3,1,2,3,3,3,2.5,2.8333333333333335,2.5,2.611111111111111,3,2,4,4,2,4,4,3,2,3,2,2,3,2,3.2857142857142856,2.4285714285714284,2.857142857142857,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,1.8333333333333333,2,2,1.9375,1,3,2,3,3,2,1,2,2,3,2,2,2.3333333333333335,2,2.1666666666666665
EDU-142,Hombre,14,3° Medio,RM,Urbano,Part. Subvencionado,3.7,3.4,2.5,No,No,0,No,Sí,Bajo,Biparental,86,Sí,3,3,2,2,3,3,3,3,2,3,3,4,3,2,2,2,3,3,2.6666666666666665,3,2.5,2.7222222222222223,2,2,2,2,3,3,2,3,3,2,3,4,3,3,2.2857142857142856,3,2.642857142857143,3,3,2,1,3,2,3,3,3,3,3,4,3,3,3,2,2.3333333333333335,3,3,2.75,2,3,2,3,1,2,3,2,2,2,3,1,2.1666666666666665,2.1666666666666665,2.1666666666666665
EDU-143,Mujer,16,1° Medio,Biobío,Urbano,Part. Subvencionado,6.4,6,6.6,No,No,0,No,Sí,Medio,Biparental,15,Sí,2,3,3,4,3,2,2,4,2,3,2,3,2,1,2,2,1,3,2.8333333333333335,2.6666666666666665,1.8333333333333333,2.4444444444444446,4,3,2,4,3,3,3,3,4,3,3,3,3,3,3.142857142857143,3.142857142857143,3.142857142857143,3,3,4,3,4,3,2,4,3,3,4,1,2,2,2,3,3.3333333333333335,3.2,2,2.875,4,4,3,4,2,3,2,2,2,2,3,2,3.3333333333333335,2.1666666666666665,2.75
EDU-144,Hombre,15,3° Medio,Valparaíso,Urbano,Part. Pagado,5.3,NA,6,No,No,0,No,No,Medio,Biparental,36,No,2,2,2,2,2,2,3,3,2,3,3,4,3,3,3,3,3,3,2,3,3,2.6666666666666665,4,3,3,3,3,3,4,4,3,3,3,3,2,2,3.2857142857142856,2.857142857142857,3.0714285714285716,1,3,3,4,3,2,3,4,3,4,2,4,2,4,2,2,2.6666666666666665,3.2,2.8,2.875,2,3,2,3,3,2,1,1,2,2,1,2,2.5,1.5,2
EDU-145,Otro,19,1° Medio,RM,Urbano,Part. Subvencionado,6.6,6.9,6.6,No,No,0,No,Sí,Bajo,Extendida,77,No,3,2,3,3,2,3,3,2,3,3,4,3,3,3,3,3,2,3,2.6666666666666665,3,2.8333333333333335,2.8333333333333335,3,3,4,3,3,3,3,4,3,2,3,2,4,3,3.142857142857143,3,3.0714285714285716,3,4,3,4,3,3,3,2,3,4,2,4,4,4,3,3,3.3333333333333335,2.8,3.6,3.25,2,2,2,3,2,2,2,2,4,2,3,1,2.1666666666666665,2.3333333333333335,2.25
EDU-146,Hombre,17,1° Medio,RM,Urbano,Municipal,4.5,2.8,4.6,Sí,No,0,No,Sí,Alto,Otra,5,No,1,2,2,3,2,2,2,2,1,2,3,2,2,2,2,2,2,4,2,2,2.3333333333333335,2.111111111111111,2,4,4,2,2,3,3,2,3,3,3,3,3,1,2.857142857142857,2.5714285714285716,2.7142857142857144,3,2,2,3,3,2,1,1,1,2,3,2,1,2,3,2,2.5,1.6,2,2.0625,3,3,3,3,2,2,2,2,2,2,2,3,2.6666666666666665,2.1666666666666665,2.4166666666666665
EDU-147,Mujer,17,2° Medio,Otra,Urbano,Part. Pagado,5.7,6.6,5.2,No,No,0,Sí,No,Medio,Biparental,NA,No,4,2,4,3,4,3,2,1,1,1,1,3,3,3,3,1,2,2,3.3333333333333335,1.5,2.3333333333333335,2.388888888888889,3,4,4,4,2,2,3,3,1,3,4,3,3,4,3.142857142857143,3,3.0714285714285716,2,2,2,2,3,2,3,2,3,2,3,3,2,2,3,2,2.1666666666666665,2.6,2.4,2.375,2,2,1,3,1,2,3,3,3,2,1,2,1.8333333333333333,2.3333333333333335,2.0833333333333335
EDU-148,Hombre,15,2° Medio,RM,Urbano,Part. Pagado,3.9,3,5.5,No,No,0,No,Sí,Alto,Biparental,120,No,2,3,1,1,2,2,1,2,2,3,3,2,1,2,3,3,1,3,1.8333333333333333,2.1666666666666665,2.1666666666666665,2.0555555555555554,3,2,2,3,3,3,3,2,1,2,4,2,2,2,2.7142857142857144,2.142857142857143,2.4285714285714284,2,3,1,2,2,2,3,3,3,1,1,3,3,3,3,3,2,2.2,3,2.375,3,3,4,4,4,3,2,3,3,3,3,3,3.5,2.8333333333333335,3.1666666666666665
EDU-149,Mujer,15,2° Medio,RM,Urbano,Part. Subvencionado,3.5,2.5,2.3,No,No,0,No,No,Medio,Extendida,30,No,2,2,1,1,2,2,2,1,2,1,3,1,4,1,2,3,2,2,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.8888888888888888,4,4,3,2,2,3,1,4,3,2,4,2,2,4,2.7142857142857144,3,2.857142857142857,2,2,3,2,2,2,3,3,3,2,3,2,1,2,2,3,2.1666666666666665,2.8,2,2.3125,4,3,3,3,3,3,2,4,2,3,3,1,3.1666666666666665,2.5,2.8333333333333335
EDU-150,Hombre,18,2° Medio,RM,Urbano,Municipal,4.5,6.2,3.3,No,No,0,Sí,Sí,Medio,Monoparental,17,No,1,2,1,2,2,2,2,1,1,2,1,1,3,2,4,3,3,3,1.6666666666666667,1.3333333333333333,3,2,2,3,3,4,3,3,4,2,2,3,3,2,3,2,3.142857142857143,2.4285714285714284,2.7857142857142856,2,3,1,2,2,2,2,3,4,2,2,2,3,3,2,2,2,2.6,2.4,2.3125,3,3,4,2,2,2,2,1,2,1,2,1,2.6666666666666665,1.5,2.0833333333333335
EDU-151,Mujer,19,4° Medio,Valparaíso,Urbano,Part. Subvencionado,5.1,3.2,3.7,No,No,0,Sí,Sí,Medio,Biparental,17,Sí,1,2,3,2,3,3,2,1,2,3,1,2,3,4,2,3,4,3,2.3333333333333335,1.8333333333333333,3.1666666666666665,2.4444444444444446,3,2,2,3,1,2,3,3,3,2,4,3,3,2,2.2857142857142856,2.857142857142857,2.5714285714285716,2,1,1,2,3,2,2,3,2,3,3,2,1,2,2,2,1.8333333333333333,2.6,1.8,2.0625,2,2,2,3,3,2,1,2,2,2,1,1,2.3333333333333335,1.5,1.9166666666666667
EDU-152,Hombre,17,3° Medio,RM,Urbano,Municipal,4.8,5,2.6,No,No,0,No,No,Medio,Otra,16,No,4,3,2,2,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2.8333333333333335,2.5,2.1666666666666665,2.5,3,2,2,3,2,3,2,3,3,3,3,3,2,2,2.4285714285714284,2.7142857142857144,2.5714285714285716,3,2,3,3,3,4,3,4,2,3,3,2,2,3,2,2,3,3,2.2,2.75,3,3,3,2,2,3,4,4,3,4,4,4,2.6666666666666665,3.8333333333333335,3.25
EDU-153,Mujer,17,4° Medio,RM,Rural,Municipal,6.2,4.8,6.5,No,No,0,Sí,Sí,Bajo,Monoparental,5,No,4,2,2,3,3,2,3,2,2,3,2,1,3,3,2,2,2,3,2.6666666666666665,2.1666666666666665,2.5,2.4444444444444446,4,3,3,3,3,4,3,4,4,3,2,4,4,3,3.2857142857142856,3.4285714285714284,3.357142857142857,3,4,2,2,3,4,2,1,2,2,3,2,2,3,3,3,3,2,2.6,2.5625,3,4,4,1,2,1,3,3,2,2,2,2,2.5,2.3333333333333335,2.4166666666666665
EDU-154,Mujer,15,1° Medio,RM,Urbano,Municipal,3.6,3.2,4.8,No,Sí,20,Sí,Sí,Medio,Biparental,47,Sí,3,3,2,4,1,4,2,2,2,3,2,2,2,1,1,2,1,2,2.8333333333333335,2.1666666666666665,1.5,2.1666666666666665,3,2,2,2,2,3,2,3,3,3,3,4,3,2,2.2857142857142856,3,2.642857142857143,3,2,2,3,2,2,1,1,1,2,2,1,1,1,1,1,2.3333333333333335,1.4,1,1.625,3,3,4,4,3,4,4,4,4,4,3,4,3.5,3.8333333333333335,3.6666666666666665
EDU-155,Hombre,18,3° Medio,Valparaíso,Rural,Part. Pagado,5,4.2,3.2,No,Sí,30,No,Sí,Medio,Monoparental,15,No,2,3,2,2,2,2,3,4,3,4,2,3,3,3,3,3,3,2,2.1666666666666665,3.1666666666666665,2.8333333333333335,2.7222222222222223,3,4,2,2,3,3,2,3,3,4,3,3,3,1,2.7142857142857144,2.857142857142857,2.7857142857142856,2,2,2,3,4,3,4,4,4,4,4,3,3,2,3,2,2.6666666666666665,4,2.6,3.0625,3,3,2,3,3,4,3,3,3,4,2,3,3,3,3
EDU-156,Mujer,20,3° Medio,RM,Urbano,Part. Pagado,5.2,4.3,4.9,No,No,0,Sí,Sí,Medio,Biparental,18,No,3,3,4,3,4,3,2,2,2,2,1,3,3,2,1,2,4,2,3.3333333333333335,2,2.3333333333333335,2.5555555555555554,3,4,4,4,4,3,4,4,4,2,4,3,3,3,3.7142857142857144,3.2857142857142856,3.5,2,2,3,2,4,2,4,4,4,2,3,3,3,3,3,3,2.5,3.4,3,2.9375,3,4,3,2,4,2,3,1,3,2,3,2,3,2.3333333333333335,2.6666666666666665
EDU-157,Hombre,16,2° Medio,RM,Urbano,Part. Subvencionado,3.5,2.7,2.7,Sí,No,0,Sí,Sí,Alto,Biparental,12,No,3,2,2,2,2,2,4,4,2,2,2,2,3,2,4,2,3,3,2.1666666666666665,2.6666666666666665,2.8333333333333335,2.5555555555555554,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1.1428571428571428,1.5714285714285714,1.3571428571428572,2,1,1,2,2,2,3,3,3,3,2,3,3,3,2,3,1.6666666666666667,2.8,2.8,2.375,4,2,3,2,3,3,4,4,4,4,3,2,2.8333333333333335,3.5,3.1666666666666665
EDU-158,Hombre,17,2° Medio,RM,Urbano,Part. Subvencionado,4.6,4.3,5.9,No,No,0,Sí,Sí,Bajo,Extendida,35,Sí,2,2,2,2,2,2,3,4,4,4,3,3,2,3,3,3,3,1,2,3.5,2.5,2.6666666666666665,3,3,3,2,2,4,3,3,2,3,2,2,3,3,2.857142857142857,2.5714285714285716,2.7142857142857144,2,2,1,3,2,2,4,3,4,4,2,2,1,2,2,4,2,3.4,2.2,2.5,2,3,2,1,4,2,3,1,2,3,2,3,2.3333333333333335,2.3333333333333335,2.3333333333333335
EDU-159,Mujer,14,2° Medio,RM,Urbano,Municipal,3.4,2.1,2.5,No,No,0,No,No,Alto,Monoparental,7,No,1,1,1,1,1,1,1,1,1,2,2,3,3,4,3,4,3,2,1,1.6666666666666667,3.1666666666666665,1.9444444444444444,2,2,2,2,3,3,2,2,3,2,3,3,2,4,2.2857142857142856,2.7142857142857144,2.5,1,1,2,2,3,2,1,2,2,1,4,2,3,2,4,2,1.8333333333333333,2,2.6,2.125,4,3,2,3,2,2,3,2,2,2,3,3,2.6666666666666665,2.5,2.5833333333333335
EDU-160,Mujer,18,3° Medio,RM,Urbano,Municipal,6.1,6.3,6.8,No,No,0,No,Sí,Bajo,Biparental,30,Sí,4,3,4,3,3,2,3,3,3,2,3,4,3,1,2,3,2,2,3.1666666666666665,3,2.1666666666666665,2.7777777777777777,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3.857142857142857,3.7142857142857144,3.7857142857142856,3,2,4,2,3,2,2,3,1,2,3,3,2,3,2,4,2.6666666666666665,2.2,2.8,2.5625,1,1,2,3,2,3,3,3,3,3,2,2,2,2.6666666666666665,2.3333333333333335
EDU-161,Mujer,18,4° Medio,RM,Rural,Part. Subvencionado,6.6,6.7,6.8,No,No,0,Sí,Sí,Alto,Biparental,16,No,3,2,2,3,2,3,2,3,4,2,4,3,2,2,2,3,2,2,2.5,3,2.1666666666666665,2.5555555555555554,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3.857142857142857,3.857142857142857,3.857142857142857,3,3,3,3,2,3,2,3,3,3,2,4,2,3,4,2,2.8333333333333335,2.6,3,2.8125,2,2,2,2,3,2,1,1,2,2,2,3,2.1666666666666665,1.8333333333333333,2
EDU-162,Hombre,17,2° Medio,RM,Urbano,Municipal,6.9,6.9,6.7,No,No,0,No,Sí,Medio,Biparental,9,Sí,3,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,3,2.8333333333333335,2,2.611111111111111,3,4,4,3,3,3,4,2,4,3,3,2,4,4,3.4285714285714284,3.142857142857143,3.2857142857142856,3,2,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3.3333333333333335,3.2,3,3.1875,2,1,1,2,1,2,1,3,2,2,2,3,1.5,2.1666666666666665,1.8333333333333333
EDU-163,Mujer,17,2° Medio,RM,Urbano,Municipal,6.6,5.8,5.6,No,Sí,24,No,Sí,Bajo,Otra,32,No,3,2,3,3,2,3,1,2,3,2,2,2,4,3,3,2,2,3,2.6666666666666665,2,2.8333333333333335,2.5,3,3,3,4,4,4,3,4,3,4,4,3,3,4,3.4285714285714284,3.5714285714285716,3.5,2,4,4,3,4,3,3,4,4,4,3,3,3,3,3,3,3.3333333333333335,3.6,3,3.3125,2,2,2,1,1,3,3,3,3,1,2,3,1.8333333333333333,2.5,2.1666666666666665
EDU-164,Mujer,17,2° Medio,Valparaíso,Urbano,Part. Subvencionado,4.2,6.3,2.7,No,No,0,No,Sí,Medio,Monoparental,14,No,4,3,3,3,1,2,3,3,3,2,3,2,1,2,2,3,3,2,2.6666666666666665,2.6666666666666665,2.1666666666666665,2.5,3,3,3,2,3,2,2,3,2,2,1,2,2,3,2.5714285714285716,2.142857142857143,2.357142857142857,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2.3333333333333335,2.2,2,2.1875,2,3,2,3,3,2,2,2,2,2,4,3,2.5,2.5,2.5
EDU-165,Hombre,20,4° Medio,RM,Rural,Municipal,6.4,5,5.4,No,No,0,Sí,Sí,Medio,Biparental,17,Sí,3,2,2,3,3,3,2,3,3,3,4,3,2,2,2,1,2,2,2.6666666666666665,3,1.8333333333333333,2.5,3,2,1,2,2,2,3,2,2,3,2,2,2,4,2.142857142857143,2.4285714285714284,2.2857142857142856,2,1,1,2,2,2,3,3,3,4,3,2,2,2,3,3,1.6666666666666667,3.2,2.4,2.375,1,2,1,1,2,2,1,1,1,1,1,2,1.5,1.1666666666666667,1.3333333333333333
EDU-166,Mujer,17,3° Medio,Valparaíso,Urbano,Municipal,NA,2.6,2.5,No,No,0,No,Sí,Bajo,Biparental,18,No,1,3,1,2,2,2,3,2,3,3,3,1,3,4,4,4,2,2,1.8333333333333333,2.5,3.1666666666666665,2.5,3,4,4,4,4,3,4,3,3,4,4,3,3,4,3.7142857142857144,3.4285714285714284,3.5714285714285716,2,1,2,2,1,3,1,1,1,2,2,2,1,1,2,1,1.8333333333333333,1.4,1.4,1.5625,3,3,3,3,3,3,2,3,4,4,3,3,3,3.1666666666666665,3.0833333333333335
EDU-167,Mujer,16,2° Medio,RM,Urbano,Part. Subvencionado,3.7,3.9,4.9,No,No,0,Sí,Sí,Medio,Extendida,9,No,2,2,2,1,2,2,1,1,2,2,3,3,3,2,2,2,3,1,1.8333333333333333,2,2.1666666666666665,2,3,4,4,3,3,4,3,3,2,2,2,2,2,3,3.4285714285714284,2.2857142857142856,2.857142857142857,3,3,2,2,3,2,4,3,4,2,3,4,1,3,4,3,2.5,3.2,3,2.875,2,3,2,3,1,2,3,2,3,2,2,3,2.1666666666666665,2.5,2.3333333333333335
