id,sexo,edad,nivel_educacional,estado_civil,n_hijos,region,area,nivel_cargo,modalidad_trabajo,antiguedad_anos,tipo_contrato,horas_semanales,ingreso_tramo,capacitacion_ultimo_ano,evaluacion_desempeno,beneficios_empresa,turno,ebl_i01,ebl_i02,ebl_i03,ebl_i04,ebl_i05,ebl_i06,ebl_i07,ebl_i08,ebl_i09,ebl_i10,ebl_i11,ebl_i12,ebl_i13,ebl_i14,ebl_i15,ebl_i16,ebl_i17,ebl_i18,ebl_agotamiento,ebl_cinismo,ebl_baja_eficacia,ebl_total,csl_i01,csl_i02,csl_i03,csl_i04,csl_i05,csl_i06,csl_i07,csl_i08,csl_i09,csl_i10,csl_i11,csl_i12,csl_i13,csl_i14,csl_i15,csl_i16,csl_tarea,csl_contexto,csl_total,elp_i01,elp_i02,elp_i03,elp_i04,elp_i05,elp_i06,elp_i07,elp_i08,elp_i09,elp_i10,elp_i11,elp_i12,elp_i13,elp_i14,elp_transformacional,elp_transaccional,elp_total,eir_i01,eir_i02,eir_i03,eir_i04,eir_i05,eir_i06,eir_i07,eir_i08,eir_i09,eir_i10,eir_intencion_salida,eir_busqueda_alternativas,eir_total
LAB-130,Mujer,22,Media,Casado/a,2,RM,Comercial,Gerencia,Presencial,10,Plazo fijo,53,Medio,No,1.6,Intermedios,Nocturno,3,3,2,3,3,3,3,2,3,4,3,3,3,3,4,3,3,2,2.8333333333333335,3,3,2.9444444444444446,4,3,2,2,2,2,3,2,3,2,3,3,4,4,2,4,2.5,3.125,2.8125,2,2,4,2,4,4,2,4,4,4,4,2,4,3,2.857142857142857,3.5714285714285716,3.2142857142857144,3,3,3,2,1,3,3,2,3,3,2.4,2.8,2.6
LAB-131,Mujer,48,Universitario,Soltero/a,0,RM,Comercial,Jefatura,Remoto,6,Honorarios,41,Medio,No,2.8,Básicos,Diurno,4,3,3,2,2,2,3,3,2,3,3,3,3,3,3,1,2,3,2.6666666666666665,2.8333333333333335,2.5,2.6666666666666665,3,3,3,2,4,2,2,3,3,2,2,1,2,1,2,2,2.75,1.875,2.3125,2,2,3,3,1,2,2,2,1,3,4,2,2,4,2.142857142857143,2.5714285714285716,2.357142857142857,2,2,1,1,1,2,2,2,2,3,1.4,2.2,1.8
LAB-132,Hombre,31,Universitario,Conviviente,1,Valparaíso,Operaciones,Gerencia,Presencial,9,Indefinido,48,Bajo,Sí,3.8,Intermedios,Diurno,1,2,2,4,2,4,2,1,1,1,1,1,2,2,2,2,2,1,2.5,1.1666666666666667,1.8333333333333333,1.8333333333333333,4,3,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3.25,3.25,3.25,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3.4285714285714284,3.7142857142857144,2,2,2,2,3,2,2,2,2,2,2.2,2,2.1
LAB-133,Hombre,22,Técnico,Conviviente,0,RM,TI,Operativo,Presencial,1,Indefinido,38,Medio,No,3.5,Intermedios,Diurno,2,2,1,1,2,2,2,2,4,3,3,2,2,1,2,2,2,1,1.6666666666666667,2.6666666666666665,1.6666666666666667,2,3,3,2,3,2,2,2,4,3,2,2,3,1,2,3,2,2.625,2.25,2.4375,3,3,3,3,2,3,2,4,4,4,4,3,3,3,2.7142857142857144,3.5714285714285716,3.142857142857143,3,1,2,2,2,2,2,3,1,2,2,2,2
LAB-134,Hombre,51,Técnico,Casado/a,0,RM,Producción,Operativo,Presencial,1,Plazo fijo,51,Medio,Sí,3.1,Intermedios,Rotativo,2,2,2,2,3,2,2,2,2,2,3,2,4,3,2,3,2,2,2.1666666666666665,2.1666666666666665,2.6666666666666665,2.3333333333333335,1,1,2,3,1,2,3,3,4,3,3,4,4,3,3,4,2,3.5,2.75,1,2,2,3,2,2,3,3,3,1,2,3,3,3,2.142857142857143,2.5714285714285716,2.357142857142857,1,1,1,1,2,1,2,1,2,2,1.2,1.6,1.4
LAB-135,Hombre,41,Postgrado,Soltero/a,0,Biobío,Producción,Profesional,Presencial,7,Plazo fijo,50,Medio,No,3,Completos,Diurno,3,4,3,4,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3.5,3.1666666666666665,3.1666666666666665,3.2777777777777777,3,3,2,2,3,2,2,2,2,3,2,2,2,2,1,2,2.375,2,2.1875,4,3,2,1,1,2,2,2,3,1,2,2,2,2,2.142857142857143,2,2.0714285714285716,3,3,3,3,2,3,3,3,3,2,2.8,2.8,2.8
LAB-136,Mujer,48,Técnico,Soltero/a,3,Antofagasta,Finanzas,Operativo,Presencial,8,Indefinido,53,Bajo,Sí,4.6,Intermedios,Diurno,1,2,1,1,2,1,2,2,1,2,2,1,2,2,3,1,2,3,1.3333333333333333,1.6666666666666667,2.1666666666666665,1.7222222222222223,2,2,4,2,3,3,3,2,4,4,4,3,2,3,4,2,2.625,3.25,2.9375,4,3,3,4,4,3,3,3,2,2,3,3,3,3,3.4285714285714284,2.7142857142857144,3.0714285714285716,2,1,1,1,2,1,1,1,1,1,1.4,1,1.2
LAB-137,Hombre,33,Técnico,Soltero/a,4,RM,RRHH,Operativo,Híbrido,9,Indefinido,38,Alto,Sí,3,Básicos,Diurno,2,2,2,1,4,1,2,1,2,1,1,3,1,2,1,1,3,1,2,1.6666666666666667,1.5,1.7222222222222223,3,3,3,4,4,4,3,3,2,4,4,4,3,4,3,4,3.375,3.5,3.4375,3,3,2,2,2,4,3,3,1,3,2,4,3,3,2.7142857142857144,2.7142857142857144,2.7142857142857144,3,2,3,3,2,3,1,2,3,3,2.6,2.4,2.5
LAB-138,Hombre,35,Técnico,Casado/a,1,Valparaíso,Operaciones,Profesional,Presencial,11,Plazo fijo,49,Medio,No,1.5,Intermedios,Diurno,3,2,3,3,3,4,3,4,3,4,3,2,3,4,4,4,4,4,3,3.1666666666666665,3.8333333333333335,3.3333333333333335,3,2,2,3,4,1,2,2,3,2,3,2,2,2,2,4,2.375,2.5,2.4375,1,1,1,2,2,1,2,2,2,2,2,2,2,3,1.4285714285714286,2.142857142857143,1.7857142857142858,4,3,3,1,2,2,3,2,2,2,2.6,2.2,2.4
LAB-139,Hombre,33,Universitario,Casado/a,2,RM,RRHH,Gerencia,Híbrido,19,Plazo fijo,49,Bajo,Sí,4.4,Completos,Nocturno,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1.1666666666666667,1.3333333333333333,1,1.1666666666666667,4,4,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3.75,3.625,3.6875,3,3,3,3,3,4,1,3,3,3,4,4,3,4,2.857142857142857,3.4285714285714284,3.142857142857143,1,1,1,2,2,1,1,1,1,1,1.4,1,1.2
LAB-140,Mujer,43,Técnico,Soltero/a,5,RM,Finanzas,Jefatura,Presencial,5,Indefinido,34,Medio,Sí,3.6,Intermedios,Diurno,1,1,1,1,1,2,1,3,1,2,2,1,2,2,2,2,1,2,1.1666666666666667,1.6666666666666667,1.8333333333333333,1.5555555555555556,3,3,3,3,2,3,3,2,3,4,4,4,4,3,4,3,2.75,3.625,3.1875,4,4,4,4,4,2,4,3,4,3,4,4,3,4,3.7142857142857144,3.5714285714285716,3.642857142857143,2,1,2,3,2,1,1,1,1,1,2,1,1.5
LAB-141,Hombre,36,Técnico,Soltero/a,2,Valparaíso,TI,Operativo,Remoto,4,Indefinido,48,Medio,Sí,3.1,Intermedios,Rotativo,3,4,2,4,3,2,2,1,2,2,1,1,2,2,1,1,2,2,3,1.5,1.6666666666666667,2.0555555555555554,3,2,2,1,2,2,2,3,2,3,2,2,3,4,3,2,2.125,2.625,2.375,4,2,2,4,3,4,4,3,2,2,4,2,4,4,3.2857142857142856,3,3.142857142857143,1,2,1,2,2,1,2,1,2,1,1.6,1.4,1.5
LAB-142,Mujer,41,Universitario,Soltero/a,0,RM,Operaciones,Operativo,Híbrido,2,Plazo fijo,44,Alto,No,3.7,Básicos,Diurno,3,2,2,2,1,2,2,3,2,1,3,1,2,3,3,2,1,4,2,2,2.5,2.1666666666666665,3,4,4,3,3,3,3,4,3,4,4,4,2,3,3,3,3.375,3.25,3.3125,3,2,3,3,3,1,2,4,4,4,2,2,2,4,2.4285714285714284,3.142857142857143,2.7857142857142856,1,2,3,2,2,2,2,2,1,3,2,2,2
LAB-143,Mujer,27,Técnico,Conviviente,2,Valparaíso,TI,Profesional,Híbrido,0,Indefinido,39,Alto,No,4.6,Intermedios,Diurno,1,2,3,2,2,4,3,3,2,4,1,3,2,2,2,3,2,3,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.4444444444444446,2,2,2,3,2,2,2,3,3,2,4,4,4,3,4,3,2.25,3.375,2.8125,3,2,2,3,3,2,3,3,2,3,2,3,3,3,2.5714285714285716,2.7142857142857144,2.642857142857143,3,2,3,3,3,3,3,3,3,4,2.8,3.2,3
LAB-144,Mujer,33,Técnico,Conviviente,2,RM,Comercial,Operativo,Remoto,5,Plazo fijo,38,Medio,No,3.5,Intermedios,Diurno,2,3,3,2,2,2,2,3,2,1,2,3,2,1,2,2,2,2,2.3333333333333335,2.1666666666666665,1.8333333333333333,2.111111111111111,3,3,2,2,3,2,3,2,2,2,4,1,2,2,2,3,2.5,2.25,2.375,3,3,3,3,4,2,2,3,2,3,3,3,4,3,2.857142857142857,3,2.9285714285714284,4,2,3,4,4,4,4,4,3,2,3.4,3.4,3.4
LAB-145,Hombre,46,Media,Soltero/a,0,Valparaíso,Finanzas,Profesional,Remoto,0,Plazo fijo,48,Alto,Sí,4.2,Básicos,Diurno,2,2,3,4,2,2,1,2,2,1,2,2,2,1,2,2,3,2,2.5,1.6666666666666667,2,2.0555555555555554,3,3,4,3,3,3,4,4,4,2,3,2,3,4,2,3,3.375,2.875,3.125,3,4,4,2,4,2,3,3,2,2,1,3,2,3,3.142857142857143,2.2857142857142856,2.7142857142857144,2,1,1,1,3,2,2,1,2,2,1.6,1.8,1.7
LAB-146,Mujer,39,Postgrado,Conviviente,0,Valparaíso,Operaciones,Jefatura,Presencial,1,Indefinido,43,Medio,No,3.4,Intermedios,Diurno,1,3,3,2,2,2,2,2,3,3,3,3,3,3,2,1,1,1,2.1666666666666665,2.6666666666666665,1.8333333333333333,2.2222222222222223,2,2,2,2,2,2,2,2,3,3,4,3,3,3,4,2,2,3.125,2.5625,1,1,2,2,1,2,2,3,4,3,3,2,3,2,1.5714285714285714,2.857142857142857,2.2142857142857144,1,2,2,3,2,1,1,1,1,1,2,1,1.5
LAB-147,Mujer,25,Universitario,Casado/a,2,RM,Producción,Profesional,Híbrido,3,Honorarios,55,Medio,Sí,1.9,Intermedios,Rotativo,4,3,3,2,4,2,3,3,3,2,3,3,2,3,2,2,3,3,3,2.8333333333333335,2.5,2.7777777777777777,2,3,2,2,2,1,2,3,1,1,3,2,1,2,1,2,2.125,1.625,1.875,2,1,1,2,1,2,1,1,1,2,1,1,2,2,1.4285714285714286,1.4285714285714286,1.4285714285714286,2,2,2,3,2,4,3,3,4,3,2.2,3.4,2.8
LAB-148,Hombre,38,Técnico,Soltero/a,0,RM,Comercial,Profesional,Presencial,0,Indefinido,42,Alto,No,1.9,Intermedios,Diurno,1,3,3,2,2,2,3,3,2,2,3,4,2,3,3,3,2,2,2.1666666666666665,2.8333333333333335,2.5,2.5,3,2,3,4,3,3,2,1,3,3,3,2,1,2,3,4,2.625,2.625,2.625,4,2,3,2,4,3,3,2,3,4,3,2,4,3,3,3,3,3,3,2,3,1,3,3,2,3,2,2.4,2.6,2.5
LAB-149,Mujer,51,Postgrado,Separado/a,4,RM,Producción,Jefatura,Híbrido,21,Indefinido,49,Bajo,No,4,Completos,Rotativo,2,3,2,2,2,2,1,2,3,2,1,1,2,1,1,2,3,2,2.1666666666666665,1.6666666666666667,1.8333333333333333,1.8888888888888888,3,3,3,3,2,3,2,4,2,2,2,2,2,2,2,2,2.875,2,2.4375,2,1,1,3,2,3,1,2,1,2,2,3,2,3,1.8571428571428572,2.142857142857143,2,2,4,3,2,2,2,2,2,2,2,2.6,2,2.3
LAB-150,Mujer,50,Técnico,Soltero/a,0,Valparaíso,Operaciones,Profesional,Híbrido,9,Plazo fijo,46,Medio,Sí,1.9,Básicos,Diurno,2,2,2,2,3,1,3,3,3,3,2,2,3,2,3,1,3,3,2,2.6666666666666665,2.5,2.388888888888889,4,4,4,4,2,3,4,2,3,3,2,3,4,3,3,3,3.375,3,3.1875,4,4,3,4,2,3,3,2,4,3,2,3,2,4,3.2857142857142856,2.857142857142857,3.0714285714285716,2,2,2,2,4,3,2,4,2,2,2.4,2.6,2.5
LAB-151,Mujer,22,Técnico,Casado/a,1,Antofagasta,RRHH,Gerencia,Presencial,5,Honorarios,46,Bajo,Sí,1.9,Completos,Rotativo,3,2,2,3,2,2,3,3,2,3,1,2,3,2,3,2,2,3,2.3333333333333335,2.3333333333333335,2.5,2.388888888888889,2,2,1,2,2,2,1,4,2,1,2,1,2,1,1,2,2,1.5,1.75,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1.2857142857142858,1.1428571428571428,1.2142857142857142,4,3,3,3,3,4,3,4,2,3,3.2,3.2,3.2
LAB-152,Hombre,27,Media,Conviviente,0,Otra,Operaciones,Operativo,Remoto,4,Indefinido,45,Bajo,Sí,4.5,Completos,Rotativo,1,1,1,1,1,3,2,1,2,2,1,3,3,2,2,2,1,2,1.3333333333333333,1.8333333333333333,2,1.7222222222222223,3,4,4,3,4,4,3,4,2,2,3,3,3,3,2,3,3.625,2.625,3.125,4,2,3,2,1,3,2,4,4,3,4,4,2,3,2.4285714285714284,3.4285714285714284,2.9285714285714284,1,1,1,1,2,2,1,1,1,1,1.2,1.2,1.2
LAB-153,Hombre,40,Técnico,Casado/a,1,Valparaíso,TI,Profesional,Remoto,2,Honorarios,51,Medio,Sí,2.9,Intermedios,Diurno,2,2,2,2,2,3,2,2,4,3,1,3,2,2,2,3,3,2,2.1666666666666665,2.5,2.3333333333333335,2.3333333333333335,4,4,4,3,4,3,4,3,4,4,3,2,2,4,3,3,3.625,3.125,3.375,4,3,4,3,2,4,4,3,3,4,4,4,3,3,3.4285714285714284,3.4285714285714284,3.4285714285714284,3,2,2,3,2,3,2,3,2,4,2.4,2.8,2.6
LAB-154,Hombre,44,Universitario,Soltero/a,1,RM,Producción,Jefatura,Presencial,1,Indefinido,46,Medio,Sí,3.3,Básicos,Diurno,1,2,2,4,2,2,2,2,3,2,4,1,1,1,2,1,2,1,2.1666666666666665,2.3333333333333335,1.3333333333333333,1.9444444444444444,2,2,3,3,4,4,2,3,2,2,3,3,3,4,3,2,2.875,2.75,2.8125,4,4,3,2,3,3,3,2,2,2,2,1,2,3,3.142857142857143,2,2.5714285714285716,2,2,2,3,3,4,2,2,2,1,2.4,2.2,2.3
LAB-155,Mujer,26,Técnico,Conviviente,3,Biobío,RRHH,Operativo,Híbrido,0,Plazo fijo,41,Bajo,Sí,4.7,Completos,Diurno,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1.5,1.1666666666666667,1.2222222222222223,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4,3,3.75,3.625,3.6875,2,3,3,4,3,4,3,3,2,2,2,1,1,2,3.142857142857143,1.8571428571428572,2.5,2,2,2,1,2,3,1,2,2,3,1.8,2.2,2
LAB-156,Hombre,26,Media,Conviviente,4,RM,Comercial,Operativo,Híbrido,16,Indefinido,44,Medio,No,2.7,Básicos,Diurno,1,2,1,1,1,1,2,2,1,1,2,3,1,2,1,1,1,2,1.1666666666666667,1.8333333333333333,1.3333333333333333,1.4444444444444444,3,3,3,3,2,2,3,1,2,2,2,3,2,2,2,2,2.5,2.125,2.3125,4,3,3,3,3,4,4,2,3,2,3,2,2,2,3.4285714285714284,2.2857142857142856,2.857142857142857,3,2,2,3,1,2,3,2,1,1,2.2,1.8,2
LAB-157,Hombre,36,Universitario,Otro,3,RM,Operaciones,Operativo,Remoto,2,Indefinido,52,Bajo,No,3.2,Intermedios,Rotativo,3,3,4,3,3,2,3,2,3,2,2,2,2,3,4,3,3,3,3,2.3333333333333335,3,2.7777777777777777,3,3,2,3,3,1,2,2,4,3,2,3,3,2,3,2,2.375,2.75,2.5625,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3.5714285714285716,3.7142857142857144,3.642857142857143,3,4,1,2,1,3,1,2,1,3,2.2,2,2.1
LAB-158,Hombre,37,Universitario,Casado/a,0,RM,Producción,Profesional,Híbrido,0,Indefinido,55,Alto,Sí,3.3,Básicos,Rotativo,1,2,2,1,2,1,2,1,1,1,2,2,2,3,2,2,3,2,1.5,1.5,2.3333333333333335,1.7777777777777777,2,3,2,3,3,2,2,3,2,3,3,3,2,2,2,3,2.5,2.5,2.5,2,2,3,2,2,2,3,2,3,4,2,4,3,4,2.2857142857142856,3.142857142857143,2.7142857142857144,2,1,2,1,3,2,2,1,2,1,1.8,1.6,1.7
LAB-159,Hombre,35,Media,Separado/a,2,RM,Finanzas,Gerencia,Híbrido,0,Indefinido,38,Bajo,Sí,4.7,Completos,Diurno,2,1,1,1,1,4,2,3,1,2,3,3,2,3,2,1,2,2,1.6666666666666667,2.3333333333333335,2,2,3,3,3,3,3,4,3,4,3,4,4,2,2,3,3,3,3.25,3,3.125,1,3,2,2,2,2,3,2,3,3,2,2,3,3,2.142857142857143,2.5714285714285716,2.357142857142857,2,1,1,1,2,1,2,2,2,1,1.4,1.6,1.5
LAB-160,Mujer,34,Técnico,Casado/a,0,Antofagasta,Operaciones,Jefatura,Presencial,5,Indefinido,36,Medio,No,3.3,Completos,Diurno,2,1,3,2,1,1,2,2,2,2,3,2,3,2,3,2,2,3,1.6666666666666667,2.1666666666666665,2.5,2.111111111111111,4,2,3,3,2,3,2,3,3,3,2,3,2,2,2,3,2.75,2.5,2.625,3,3,2,1,2,2,2,3,3,4,3,3,3,3,2.142857142857143,3.142857142857143,2.642857142857143,2,2,1,2,1,1,2,2,1,2,1.6,1.6,1.6
LAB-161,Mujer,50,Técnico,Casado/a,1,Antofagasta,Producción,Profesional,Híbrido,0,Indefinido,40,Bajo,No,4.6,Intermedios,Nocturno,3,1,1,3,1,3,2,2,2,2,1,1,1,2,2,1,3,2,2,1.6666666666666667,1.8333333333333333,1.8333333333333333,3,3,4,4,3,3,3,2,4,4,4,3,4,4,4,3,3.125,3.75,3.4375,3,2,3,3,3,3,3,3,4,4,3,3,3,4,2.857142857142857,3.4285714285714284,3.142857142857143,2,1,2,2,2,1,1,1,1,3,1.8,1.4,1.6
LAB-162,Hombre,42,Postgrado,Casado/a,1,Biobío,RRHH,Gerencia,Presencial,3,Plazo fijo,54,Alto,No,4.3,Intermedios,Diurno,3,2,2,1,3,1,1,1,2,1,1,1,2,2,2,2,2,3,2,1.1666666666666667,2.1666666666666665,1.7777777777777777,4,3,4,4,3,4,4,2,4,4,4,2,4,3,4,4,3.5,3.625,3.5625,3,3,4,2,2,2,3,2,1,3,2,2,2,3,2.7142857142857144,2.142857142857143,2.4285714285714284,2,3,1,1,3,1,1,1,1,1,2,1,1.5
LAB-163,Hombre,38,Técnico,Conviviente,0,RM,TI,Operativo,Presencial,1,Honorarios,51,Medio,Sí,1.5,Básicos,Nocturno,2,3,3,3,3,2,2,3,2,3,4,1,3,2,3,2,3,3,2.6666666666666665,2.5,2.6666666666666665,2.611111111111111,3,1,3,2,2,3,2,2,2,2,2,2,2,2,3,4,2.25,2.375,2.3125,2,2,3,2,2,2,2,2,3,1,2,3,2,2,2.142857142857143,2.142857142857143,2.142857142857143,2,2,2,2,3,1,3,2,1,3,2.2,2,2.1
LAB-164,Mujer,38,Media,Conviviente,2,RM,RRHH,Profesional,Remoto,2,Indefinido,43,Medio,Sí,2.8,Básicos,Nocturno,1,2,2,2,2,1,4,3,3,3,4,3,2,2,3,3,2,2,1.6666666666666667,3.3333333333333335,2.3333333333333335,2.4444444444444446,3,3,2,3,2,3,3,4,4,3,4,4,3,3,3,4,2.875,3.5,3.1875,2,2,3,3,3,2,3,3,4,4,3,3,2,4,2.5714285714285716,3.2857142857142856,2.9285714285714284,3,3,2,1,4,3,2,3,1,3,2.6,2.4,2.5
LAB-165,Hombre,34,Universitario,Soltero/a,2,Biobío,Operaciones,Jefatura,Híbrido,5,Indefinido,NA,Bajo,Sí,4.2,Intermedios,Nocturno,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,2,2,3,1,1.3333333333333333,2,1.4444444444444444,2,2,2,2,2,2,3,2,3,2,2,3,2,2,3,3,2.125,2.5,2.3125,2,3,3,2,2,3,2,3,2,2,1,1,1,1,2.4285714285714284,1.5714285714285714,2,1,2,2,3,2,2,2,2,1,2,2,1.8,1.9
LAB-166,Mujer,41,Media,Conviviente,0,Antofagasta,Comercial,Profesional,Remoto,13,Indefinido,NA,Alto,Sí,3,Básicos,Diurno,1,2,1,1,2,2,1,2,1,1,2,3,1,1,1,1,1,1,1.5,1.6666666666666667,1,1.3888888888888888,3,3,3,3,3,3,4,4,3,4,3,3,4,4,3,2,3.25,3.25,3.25,3,4,2,4,4,2,3,3,3,3,2,3,4,2,3.142857142857143,2.857142857142857,3,2,1,1,2,2,1,1,1,1,2,1.6,1.2,1.4
LAB-167,Hombre,35,Universitario,Soltero/a,3,RM,TI,Operativo,Presencial,6,Indefinido,60,Alto,No,1.4,Intermedios,Rotativo,3,2,3,2,2,3,2,2,2,1,2,2,1,1,1,2,2,2,2.5,1.8333333333333333,1.5,1.9444444444444444,2,2,2,2,2,2,3,1,4,2,3,2,3,3,3,3,2,2.875,2.4375,3,3,3,1,1,2,3,2,1,2,1,1,1,2,2.2857142857142856,1.4285714285714286,1.8571428571428572,3,3,2,3,2,2,2,3,2,2,2.6,2.2,2.4
LAB-168,Mujer,30,Universitario,Casado/a,0,Antofagasta,Operaciones,Operativo,Presencial,9,Indefinido,37,Alto,No,4.4,Básicos,Diurno,3,2,3,2,2,4,3,1,3,3,4,2,3,3,3,4,4,3,2.6666666666666665,2.6666666666666665,3.3333333333333335,2.888888888888889,3,2,2,3,3,3,3,2,3,3,2,4,3,3,3,3,2.625,3,2.8125,3,3,2,1,3,1,2,3,3,2,3,2,3,3,2.142857142857143,2.7142857142857144,2.4285714285714284,2,2,2,2,2,2,2,2,2,2,2,2,2
LAB-169,Mujer,38,Media,Soltero/a,3,RM,Operaciones,Operativo,Híbrido,12,Indefinido,37,Medio,No,4.9,Completos,Diurno,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,1.3333333333333333,1.5,1.3333333333333333,1.3888888888888888,4,3,3,4,4,4,4,3,3,4,4,4,4,3,4,4,3.625,3.75,3.6875,4,4,3,3,4,4,4,3,3,3,3,2,2,3,3.7142857142857144,2.7142857142857144,3.2142857142857144,1,1,1,2,1,1,2,1,1,2,1.2,1.4,1.3
LAB-170,Mujer,39,Técnico,Conviviente,0,Biobío,Operaciones,Profesional,Remoto,9,Plazo fijo,56,Medio,No,2.8,Intermedios,Diurno,1,2,2,1,2,1,1,2,3,1,3,2,2,1,2,1,1,2,1.5,2,1.5,1.6666666666666667,2,3,2,3,3,2,1,2,2,2,2,2,2,3,2,1,2.25,2,2.125,4,4,3,3,2,3,3,2,3,3,4,4,2,3,3.142857142857143,3,3.0714285714285716,2,2,2,2,2,3,2,3,2,3,2,2.6,2.3
LAB-171,Mujer,25,Universitario,Casado/a,4,Biobío,TI,Jefatura,Presencial,10,Plazo fijo,40,Alto,Sí,2.4,Intermedios,Nocturno,4,3,3,3,2,3,4,4,4,4,3,2,4,4,4,4,4,3,3,3.5,3.8333333333333335,3.4444444444444446,3,4,2,3,2,3,3,1,2,3,3,3,3,2,3,3,2.625,2.75,2.6875,2,3,2,2,3,2,1,2,2,2,2,3,1,3,2.142857142857143,2.142857142857143,2.142857142857143,4,2,4,2,3,3,4,3,4,3,3,3.4,3.2
LAB-172,Mujer,32,Técnico,Otro,2,Antofagasta,RRHH,Operativo,Híbrido,6,Indefinido,40,Medio,No,4.2,Completos,Diurno,2,2,2,2,2,3,2,1,2,2,2,2,1,2,2,2,2,2,2.1666666666666665,1.8333333333333333,1.8333333333333333,1.9444444444444444,2,2,4,3,3,3,4,2,3,3,2,3,2,3,2,3,2.875,2.625,2.75,4,2,3,3,2,3,2,1,2,3,1,2,1,3,2.7142857142857144,1.8571428571428572,2.2857142857142856,3,1,2,2,2,2,2,2,3,2,2,2.2,2.1
LAB-173,Hombre,22,Universitario,Casado/a,3,Biobío,Finanzas,Operativo,Presencial,2,Honorarios,41,Medio,No,1.4,Completos,Diurno,2,3,3,2,2,2,3,2,3,2,2,1,2,3,2,2,2,2,2.3333333333333335,2.1666666666666665,2.1666666666666665,2.2222222222222223,1,2,1,2,2,1,3,2,2,1,1,2,2,1,1,2,1.75,1.5,1.625,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1.1428571428571428,1.0714285714285714,4,4,3,3,4,4,4,3,3,2,3.6,3.2,3.4
LAB-174,Hombre,33,Media,Conviviente,3,Antofagasta,Producción,Operativo,Remoto,5,Indefinido,32,Alto,Sí,4.8,Intermedios,Diurno,1,1,1,2,1,3,1,1,1,1,1,2,2,1,1,1,1,1,1.5,1.1666666666666667,1.1666666666666667,1.2777777777777777,2,4,4,4,3,4,4,2,4,4,4,4,4,4,4,2,3.375,3.75,3.5625,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,2,1,1,2,2,1,1.4,1.4,1.4
LAB-175,Hombre,45,Media,Otro,1,Antofagasta,Comercial,Operativo,Presencial,0,Indefinido,30,Medio,No,4.5,Básicos,Diurno,2,3,2,3,2,2,2,2,3,3,3,3,2,2,2,1,2,3,2.3333333333333335,2.6666666666666665,2,2.3333333333333335,2,3,2,3,2,2,2,1,3,3,3,2,3,4,4,1,2.125,2.875,2.5,4,3,4,3,3,3,4,3,3,1,3,2,4,3,3.4285714285714284,2.7142857142857144,3.0714285714285716,2,1,1,1,1,2,1,1,1,1,1.2,1.2,1.2
LAB-176,Hombre,28,Universitario,Casado/a,2,Valparaíso,Producción,Operativo,Presencial,14,Plazo fijo,45,Bajo,No,3.5,Básicos,Diurno,2,1,2,3,4,1,2,2,2,1,3,1,1,1,1,1,1,1,2.1666666666666665,1.8333333333333333,1,1.6666666666666667,2,2,3,3,3,2,2,2,3,3,3,4,3,3,3,2,2.375,3,2.6875,3,3,4,3,2,4,3,2,1,2,1,2,2,2,3.142857142857143,1.7142857142857142,2.4285714285714284,3,2,2,3,2,3,1,2,3,2,2.4,2.2,2.3
LAB-177,Hombre,33,Universitario,Casado/a,0,RM,TI,Profesional,Presencial,0,Indefinido,39,Medio,No,2.6,Básicos,Rotativo,2,2,2,2,2,1,2,1,2,1,1,3,3,3,3,2,3,4,1.8333333333333333,1.6666666666666667,3,2.1666666666666665,3,3,4,4,4,4,2,4,3,3,3,3,3,2,2,2,3.5,2.625,3.0625,1,3,4,3,2,2,3,2,3,3,3,3,2,3,2.5714285714285716,2.7142857142857144,2.642857142857143,1,2,2,2,1,1,2,2,2,3,1.6,2,1.8
LAB-178,Hombre,25,Postgrado,Conviviente,0,RM,Operaciones,Operativo,Híbrido,1,Indefinido,32,Alto,Sí,4.2,Completos,Diurno,1,1,2,3,1,2,1,2,1,1,2,2,2,2,2,2,3,3,1.6666666666666667,1.5,2.3333333333333335,1.8333333333333333,4,4,4,3,4,4,3,2,4,4,4,4,4,4,4,3,3.5,3.875,3.6875,3,1,2,2,3,2,2,1,2,2,2,2,2,1,2.142857142857143,1.7142857142857142,1.9285714285714286,1,2,1,1,1,2,1,1,1,1,1.2,1.2,1.2
