id,sexo,edad,region_origen,primera_generacion_universitaria,carrera,ano_carrera,promedio_acumulado,creditos_semestre,trabaja,horas_trabajo_semana,tipo_beca,vive_con_familia,distancia_universidad,uso_apoyo_psicologico,satisfaccion_carrera,horas_estudio_semana,actividades_extracurriculares,ere_i01,ere_i02,ere_i03,ere_i04,ere_i05,ere_i06,ere_i07,ere_i08,ere_i09,ere_i10,ere_i11,ere_i12,ere_i13,ere_i14,ere_i15,ere_i16,ere_reevaluacion,ere_supresion,ere_total,eag_i01,eag_i02,eag_i03,eag_i04,eag_i05,eag_i06,eag_i07,eag_i08,eag_i09,eag_i10,eag_i11,eag_i12,eag_i13,eag_i14,eag_conductual,eag_cognitiva,eag_total,epa_i01,epa_i02,epa_i03,epa_i04,epa_i05,epa_i06,epa_i07,epa_i08,epa_i09,epa_i10,epa_i11,epa_i12,epa_postergacion_tareas,epa_postergacion_decisiones,epa_total,cbu_i01,cbu_i02,cbu_i03,cbu_i04,cbu_i05,cbu_i06,cbu_i07,cbu_i08,cbu_i09,cbu_i10,cbu_i11,cbu_i12,cbu_i13,cbu_i14,cbu_i15,cbu_i16,cbu_i17,cbu_i18,cbu_emocional,cbu_vinculacion,cbu_satisfaccion_vital,cbu_total
INV-123,Mujer,17,Región centro,No,Educación,2°,4.1,45,No,0,Otra beca,No,Local,Sí,3,13,No,2,3,2,2,3,3,1,2,1,3,2,3,1,1,2,1,2.25,1.75,2,2,3,1,2,1,2,2,2,2,2,1,2,2,4,1.8571428571428572,2.142857142857143,2,2,3,3,4,2,3,2,2,4,1,4,4,2.8333333333333335,2.8333333333333335,2.8333333333333335,2,2,2,3,3,3,4,2,3,3,2,3,3,4,3,4,4,2,2.5,2.8333333333333335,3.3333333333333335,2.888888888888889
INV-124,Mujer,17,RM,Sí,Trabajo Social,1°,6.5,35,No,0,Gratuidad,No,Local,No,4,20,Sí,2,3,3,3,3,3,3,2,3,2,3,4,2,4,3,3,2.75,3,2.875,3,3,4,3,3,3,3,2,3,2,3,2,2,2,3.142857142857143,2.2857142857142856,2.7142857142857144,2,1,1,1,2,2,1,3,2,1,2,1,1.5,1.6666666666666667,1.5833333333333333,3,4,3,4,4,4,4,3,3,2,3,3,3,3,2,3,3,3,3.6666666666666665,3,2.8333333333333335,3.1666666666666665
INV-125,Hombre,18,Región sur,Sí,Trabajo Social,2°,5.8,33,Sí,19,Gratuidad,Sí,Local,No,3,33,No,4,2,3,3,3,3,3,4,3,3,4,2,3,3,2,3,3.125,2.875,3,4,3,4,2,3,3,3,3,2,3,3,3,2,3,3.142857142857143,2.7142857142857144,2.9285714285714284,1,1,2,2,3,2,3,2,2,2,2,3,1.8333333333333333,2.3333333333333335,2.0833333333333335,3,3,3,3,3,3,3,2,3,3,2,2,4,4,3,3,4,2,3,2.5,3.3333333333333335,2.9444444444444446
INV-126,Mujer,17,Región sur,No,Enfermería,5°,4.2,31,No,0,Gratuidad,No,Desplazado/a,No,2,8,No,1,1,2,2,1,1,2,3,2,1,1,2,2,2,2,2,1.625,1.75,1.6875,2,1,2,2,1,2,1,2,3,3,3,2,2,2,1.5714285714285714,2.4285714285714284,2,2,2,3,2,3,3,1,2,1,1,1,1,2.5,1.1666666666666667,1.8333333333333333,3,3,3,3,3,2,2,2,3,2,1,3,3,2,2,3,2,2,2.8333333333333335,2.1666666666666665,2.3333333333333335,2.4444444444444446
INV-127,Mujer,22,Región sur,No,Psicología,3°,5.9,44,No,0,Beca excelencia,Sí,Desplazado/a,No,3,32,No,3,4,4,4,3,4,3,3,2,2,2,2,3,3,2,2,3.5,2.25,2.875,3,4,3,4,3,4,3,3,3,4,2,3,4,3,3.4285714285714284,3.142857142857143,3.2857142857142856,2,2,3,1,3,3,3,2,2,1,3,2,2.3333333333333335,2.1666666666666665,2.25,2,2,3,3,3,1,2,3,3,4,3,3,4,3,4,3,4,3,2.3333333333333335,3,3.5,2.9444444444444446
INV-128,Mujer,19,Región sur,No,Trabajo Social,1°,3.2,43,Sí,32,Gratuidad,No,Local,No,1,9,Sí,1,1,1,2,1,1,1,1,2,2,4,3,4,3,3,3,1.125,3,2.0625,2,2,1,3,3,2,3,1,1,1,2,1,2,3,2.2857142857142856,1.5714285714285714,1.9285714285714286,4,2,3,3,2,4,3,3,3,4,2,3,3,3,3,2,3,3,4,4,4,1,2,2,2,2,2,2,3,4,3,2,3,3.3333333333333335,1.8333333333333333,2.8333333333333335,2.6666666666666665
INV-129,Mujer,24,RM,Sí,Trabajo Social,3°,6.6,49,No,0,Beca excelencia,Sí,Local,No,4,21,No,2,3,4,2,4,4,4,2,1,2,2,1,3,2,3,2,3.125,2,2.5625,4,4,4,3,4,4,4,4,3,3,3,4,3,2,3.857142857142857,3.142857142857143,3.5,2,2,2,3,3,3,2,2,2,2,2,3,2.5,2.1666666666666665,2.3333333333333335,2,2,1,3,2,2,2,3,3,2,4,2,3,3,3,3,2,3,2,2.6666666666666665,2.8333333333333335,2.5
INV-130,Hombre,21,Región centro,No,Psicología,1°,4.3,60,No,0,Otra beca,Sí,Desplazado/a,No,3,16,No,2,2,2,1,2,2,2,3,2,3,2,2,1,1,2,2,2,1.875,1.9375,2,2,2,2,3,2,3,3,4,3,4,3,4,3,2.2857142857142856,3.4285714285714284,2.857142857142857,3,3,2,2,2,1,2,3,3,2,3,3,2.1666666666666665,2.6666666666666665,2.4166666666666665,3,4,2,2,3,4,3,3,3,3,3,4,3,4,2,2,3,4,3,3.1666666666666665,3,3.0555555555555554
INV-131,Mujer,20,Región centro,No,Otra,5°,4.3,48,Sí,19,Sin beca,No,Desplazado/a,No,3,10,No,3,3,4,3,2,3,3,3,4,2,3,2,3,3,2,4,3,2.875,2.9375,2,3,2,3,2,3,2,4,2,3,3,3,2,2,2.4285714285714284,2.7142857142857144,2.5714285714285716,3,3,3,2,4,2,3,2,3,3,3,3,2.8333333333333335,2.8333333333333335,2.8333333333333335,2,2,2,2,2,2,3,3,2,2,3,3,2,2,3,2,2,2,2,2.6666666666666665,2.1666666666666665,2.2777777777777777
INV-132,Hombre,19,Región centro,No,Enfermería,3°,4.7,34,Sí,24,Sin beca,No,Local,No,2,NA,No,2,4,2,3,2,3,2,2,3,2,2,2,3,3,2,2,2.5,2.375,2.4375,1,2,2,2,2,3,2,4,2,2,3,3,2,3,2,2.7142857142857144,2.357142857142857,2,2,3,4,2,1,2,1,3,2,2,1,2.3333333333333335,1.8333333333333333,2.0833333333333335,2,2,1,1,2,2,1,2,1,2,2,2,2,2,3,2,1,1,1.6666666666666667,1.6666666666666667,1.8333333333333333,1.7222222222222223
INV-133,Hombre,19,Región centro,No,Psicología,3°,6.1,39,No,0,Sin beca,No,Local,Sí,3,22,No,1,2,2,2,1,1,2,3,3,2,4,3,2,3,2,4,1.75,2.875,2.3125,2,4,2,3,2,4,3,3,4,4,3,3,4,3,2.857142857142857,3.4285714285714284,3.142857142857143,3,3,4,3,1,3,3,3,3,3,4,4,2.8333333333333335,3.3333333333333335,3.0833333333333335,2,3,3,2,2,1,3,3,4,4,3,4,2,2,3,4,3,3,2.1666666666666665,3.5,2.8333333333333335,2.8333333333333335
INV-134,Mujer,23,Región sur,No,Enfermería,2°,6.3,39,No,0,Gratuidad,No,Desplazado/a,Sí,4,14,No,3,2,3,3,3,2,2,2,2,1,2,2,2,1,1,2,2.5,1.625,2.0625,2,2,2,3,3,3,2,2,3,2,4,2,3,3,2.4285714285714284,2.7142857142857144,2.5714285714285716,2,1,2,2,3,3,2,2,2,1,1,1,2.1666666666666665,1.5,1.8333333333333333,3,4,4,4,3,4,3,3,3,3,4,3,3,3,2,3,2,1,3.6666666666666665,3.1666666666666665,2.3333333333333335,3.0555555555555554
INV-135,Mujer,18,RM,No,Trabajo Social,5°,3.6,59,No,0,Sin beca,No,Local,No,2,11,No,3,2,2,3,2,2,2,3,3,2,3,2,1,2,3,2,2.375,2.25,2.3125,1,3,1,2,3,3,3,2,3,2,3,3,3,2,2.2857142857142856,2.5714285714285716,2.4285714285714284,3,2,2,1,3,2,2,2,1,2,3,2,2.1666666666666665,2,2.0833333333333335,2,2,2,2,2,2,2,2,2,3,2,4,3,3,3,4,2,2,2,2.5,2.8333333333333335,2.4444444444444446
INV-136,Hombre,23,RM,No,Otra,4°,3.3,44,Sí,15,Otra beca,No,Local,No,2,25,No,3,3,1,4,3,3,3,4,3,2,1,4,2,3,2,3,3,2.5,2.75,2,2,1,2,3,2,2,1,1,2,1,2,2,2,2,1.5714285714285714,1.7857142857142858,3,3,2,1,4,2,4,4,3,3,4,2,2.5,3.3333333333333335,2.9166666666666665,1,2,3,3,3,4,2,3,3,3,3,4,2,3,3,2,3,3,2.6666666666666665,3,2.6666666666666665,2.7777777777777777
INV-137,Mujer,25,RM,No,Educación,2°,3.9,42,No,0,Sin beca,Sí,Local,No,4,13,Sí,2,3,3,2,3,2,1,1,2,3,3,3,2,2,2,2,2.125,2.375,2.25,2,4,4,3,3,2,2,2,2,4,4,3,3,3,2.857142857142857,3,2.9285714285714284,2,2,2,4,3,2,2,3,2,2,3,2,2.5,2.3333333333333335,2.4166666666666665,4,4,4,4,3,3,4,3,4,4,3,3,3,3,3,3,3,2,3.6666666666666665,3.5,2.8333333333333335,3.3333333333333335
INV-138,Mujer,19,RM,No,Educación,4°,5,46,Sí,17,Sin beca,Sí,Desplazado/a,No,3,5,No,4,3,4,3,4,4,3,2,2,3,3,3,3,3,3,3,3.375,2.875,3.125,3,2,3,2,3,3,2,2,2,3,2,2,2,2,2.5714285714285716,2.142857142857143,2.357142857142857,2,1,2,2,1,3,1,3,1,3,2,2,1.8333333333333333,2,1.9166666666666667,4,4,2,4,3,3,3,4,2,4,2,2,3,3,2,3,2,3,3.3333333333333335,2.8333333333333335,2.6666666666666665,2.9444444444444446
INV-139,Mujer,24,Región sur,Sí,Educación,4°,3.6,30,No,0,Gratuidad,No,Local,No,2,14,No,3,3,3,1,2,3,3,3,2,2,2,3,3,1,1,4,2.625,2.25,2.4375,4,3,3,4,2,2,3,3,4,4,2,3,4,4,3,3.4285714285714284,3.2142857142857144,3,4,4,3,3,3,3,3,2,2,4,3,3.3333333333333335,2.8333333333333335,3.0833333333333335,2,3,2,2,3,2,3,3,2,2,3,2,3,2,2,2,2,2,2.3333333333333335,2.5,2.1666666666666665,2.3333333333333335
INV-140,Hombre,21,Región centro,No,Trabajo Social,3°,4.9,NA,Sí,25,Sin beca,No,Desplazado/a,No,5,7,No,2,3,2,3,1,2,1,3,2,2,3,2,2,1,2,1,2.125,1.875,2,4,4,3,3,4,3,3,4,4,3,4,4,4,3,3.4285714285714284,3.7142857142857144,3.5714285714285716,1,2,2,2,1,3,1,1,1,1,1,1,1.8333333333333333,1,1.4166666666666667,2,2,2,2,3,3,3,3,2,4,3,3,3,2,4,3,2,3,2.3333333333333335,3,2.8333333333333335,2.7222222222222223
INV-141,Mujer,23,Región norte,No,Psicología,3°,4.2,47,Sí,23,Sin beca,No,Local,No,1,8,Sí,2,1,2,2,2,2,2,2,3,2,2,2,3,3,3,3,1.875,2.625,2.25,3,2,3,2,2,2,2,4,2,3,3,2,2,3,2.2857142857142856,2.7142857142857144,2.5,3,2,4,2,1,2,3,2,3,4,4,3,2.3333333333333335,3.1666666666666665,2.75,1,1,2,1,2,1,2,3,3,3,2,3,2,2,2,2,1,2,1.3333333333333333,2.6666666666666665,1.8333333333333333,1.9444444444444444
INV-142,Mujer,23,Región norte,Sí,Otra,4°,4.4,60,No,0,Gratuidad,No,Desplazado/a,No,2,NA,Sí,4,3,4,3,4,3,3,4,3,2,3,2,2,2,3,2,3.5,2.375,2.9375,4,2,3,3,2,2,4,2,2,2,3,2,2,2,2.857142857142857,2.142857142857143,2.5,3,3,2,3,2,3,3,1,3,1,1,2,2.6666666666666665,1.8333333333333333,2.25,1,3,2,1,1,2,2,3,3,2,3,2,3,3,2,3,3,2,1.6666666666666667,2.5,2.6666666666666665,2.2777777777777777
INV-143,Hombre,20,Región centro,Sí,Enfermería,2°,6.6,24,No,0,Beca excelencia,Sí,Local,No,3,35,No,2,1,1,2,1,1,1,3,2,3,4,2,2,2,3,1,1.5,2.375,1.9375,4,4,4,4,4,4,4,4,4,4,3,2,4,2,4,3.2857142857142856,3.642857142857143,2,3,3,2,3,2,2,3,2,2,1,2,2.5,2,2.25,3,4,3,3,4,3,4,3,2,3,3,3,2,2,3,2,3,3,3.3333333333333335,3,2.5,2.9444444444444446
INV-144,Otro,20,RM,Sí,Trabajo Social,5°,3.5,60,Sí,25,Sin beca,Sí,Desplazado/a,No,2,24,No,3,3,1,1,2,1,3,2,3,3,4,4,3,4,4,3,2,3.5,2.75,3,3,4,4,2,4,3,2,3,3,1,2,3,3,3.2857142857142856,2.4285714285714284,2.857142857142857,2,2,2,2,2,3,3,3,3,3,1,3,2.1666666666666665,2.6666666666666665,2.4166666666666665,2,2,3,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2.1666666666666665,2.5,2.1666666666666665,2.2777777777777777
INV-145,Mujer,24,RM,No,Educación,3°,4.1,38,No,0,Gratuidad,Sí,Local,No,2,18,No,3,2,3,3,3,2,3,4,1,1,1,1,1,1,1,2,2.875,1.125,2,1,2,3,1,2,1,3,4,3,2,1,3,2,3,1.8571428571428572,2.5714285714285716,2.2142857142857144,1,3,3,2,2,2,2,1,2,1,3,2,2.1666666666666665,1.8333333333333333,2,3,3,2,2,2,2,2,3,2,4,3,3,4,2,4,3,3,4,2.3333333333333335,2.8333333333333335,3.3333333333333335,2.8333333333333335
INV-146,Hombre,18,Región centro,Sí,Enfermería,1°,5,46,No,0,Otra beca,Sí,Desplazado/a,Sí,4,25,No,1,1,2,1,2,1,2,1,1,3,3,2,3,3,2,4,1.375,2.625,2,3,2,3,3,2,3,3,2,3,2,3,3,3,2,2.7142857142857144,2.5714285714285716,2.642857142857143,3,2,2,2,1,2,2,3,1,1,1,3,2,1.8333333333333333,1.9166666666666667,3,3,3,3,4,4,4,4,4,4,4,2,4,3,4,3,4,3,3.3333333333333335,3.6666666666666665,3.5,3.5
INV-147,Hombre,21,RM,No,Educación,4°,5.4,36,No,0,Otra beca,No,Local,Sí,4,21,Sí,2,2,2,3,2,2,3,3,3,4,2,3,2,3,2,3,2.375,2.75,2.5625,3,3,2,4,3,2,4,2,2,2,2,2,3,3,3,2.2857142857142856,2.642857142857143,2,3,2,3,2,2,4,4,2,2,3,2,2.3333333333333335,2.8333333333333335,2.5833333333333335,3,3,3,3,3,2,2,4,4,3,2,3,3,3,3,2,3,3,2.8333333333333335,3,2.8333333333333335,2.888888888888889
INV-148,Hombre,19,RM,No,Psicología,3°,3.8,44,Sí,14,Beca excelencia,No,Local,No,2,4,Sí,3,3,1,2,2,3,3,2,3,3,2,3,2,2,2,2,2.375,2.375,2.375,2,2,2,2,1,3,2,1,2,2,1,2,2,3,2,1.8571428571428572,1.9285714285714286,2,3,3,1,3,1,3,3,3,2,4,2,2.1666666666666665,2.8333333333333335,2.5,2,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,1.5,2,2.8333333333333335,2.111111111111111
INV-149,Hombre,23,Región centro,No,Otra,5°,6.8,37,No,0,Gratuidad,No,Desplazado/a,Sí,5,16,No,4,4,3,3,3,3,4,3,2,2,3,3,3,2,3,2,3.375,2.5,2.9375,4,3,3,4,3,4,4,4,4,4,4,4,3,2,3.5714285714285716,3.5714285714285716,3.5714285714285716,1,2,1,1,2,3,2,1,3,1,1,3,1.6666666666666667,1.8333333333333333,1.75,2,3,4,2,3,2,3,4,2,2,2,2,4,4,3,3,3,3,2.6666666666666665,2.5,3.3333333333333335,2.8333333333333335
INV-150,Mujer,23,Región norte,No,Trabajo Social,1°,3.1,35,No,0,Sin beca,Sí,Local,No,1,4,No,3,2,3,4,3,3,2,2,2,3,2,3,4,4,3,1,2.75,2.75,2.75,2,1,2,2,1,2,2,2,1,3,4,3,2,2,1.7142857142857142,2.4285714285714284,2.0714285714285716,3,2,2,2,4,3,3,3,2,2,3,4,2.6666666666666665,2.8333333333333335,2.75,3,3,3,3,3,3,2,3,4,3,3,3,2,2,2,3,2,3,3,3,2.3333333333333335,2.7777777777777777
INV-151,Mujer,22,Región centro,Sí,Educación,1°,6.2,47,No,0,Beca excelencia,Sí,Local,No,5,36,Sí,4,4,4,4,4,4,4,3,2,1,2,1,2,2,2,3,3.875,1.875,2.875,2,3,4,3,3,3,3,3,2,2,3,3,2,2,3,2.4285714285714284,2.7142857142857144,2,2,2,2,4,2,3,3,4,3,4,4,2.3333333333333335,3.5,2.9166666666666665,4,4,3,4,4,4,4,4,2,4,4,3,4,4,3,4,4,4,3.8333333333333335,3.5,3.8333333333333335,3.7222222222222223
INV-152,Mujer,24,RM,No,Psicología,2°,6.2,44,No,0,Sin beca,Sí,Local,No,4,18,No,1,4,2,2,1,3,2,3,4,1,3,3,2,4,3,2,2.25,2.75,2.5,4,4,4,3,4,4,3,2,2,2,2,1,3,3,3.7142857142857144,2.142857142857143,2.9285714285714284,3,3,3,3,4,1,3,2,4,3,2,2,2.8333333333333335,2.6666666666666665,2.75,4,4,4,4,4,4,4,4,3,4,4,3,2,3,3,3,4,3,4,3.6666666666666665,3,3.5555555555555554
INV-153,Hombre,19,RM,No,Otra,1°,3.9,57,No,0,Gratuidad,Sí,Local,No,2,7,No,4,2,3,1,1,1,2,3,2,3,2,4,3,3,3,3,2.125,2.875,2.5,2,3,3,3,4,2,3,4,4,3,3,2,2,3,2.857142857142857,3,2.9285714285714284,3,4,3,2,2,3,2,2,2,2,2,2,2.8333333333333335,2,2.4166666666666665,2,2,2,1,2,1,1,2,1,1,2,3,3,3,2,2,2,2,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.8888888888888888
INV-154,Hombre,26,Región centro,Sí,Enfermería,4°,3.7,50,No,0,Gratuidad,Sí,Local,No,2,11,Sí,3,3,2,2,2,2,3,4,3,2,2,2,2,3,2,3,2.625,2.375,2.5,2,3,3,2,2,1,2,3,2,3,3,3,2,3,2.142857142857143,2.7142857142857144,2.4285714285714284,2,2,2,3,4,4,1,3,3,1,2,2,2.8333333333333335,2,2.4166666666666665,3,2,2,3,3,2,2,3,3,3,2,2,2,3,2,2,3,3,2.5,2.5,2.5,2.5
INV-155,Mujer,24,RM,No,Trabajo Social,1°,6.4,25,No,0,Otra beca,No,Desplazado/a,No,1,27,No,2,2,2,4,3,2,2,3,3,3,2,4,3,3,2,4,2.5,3,2.75,3,2,2,2,3,4,3,3,2,2,3,2,3,2,2.7142857142857144,2.4285714285714284,2.5714285714285716,3,3,2,3,3,3,3,2,3,2,2,2,2.8333333333333335,2.3333333333333335,2.5833333333333335,2,1,1,2,1,1,1,1,1,2,2,3,2,2,2,2,1,2,1.3333333333333333,1.6666666666666667,1.8333333333333333,1.6111111111111112
INV-156,Hombre,22,Región sur,Sí,Otra,3°,4.8,40,No,0,Gratuidad,Sí,Local,No,3,35,No,1,1,3,1,1,1,2,2,3,4,4,2,3,2,4,1,1.5,2.875,2.1875,2,1,3,3,2,4,3,3,3,2,3,2,2,3,2.5714285714285716,2.5714285714285716,2.5714285714285716,4,2,4,2,4,3,3,2,2,3,2,3,3.1666666666666665,2.5,2.8333333333333335,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,2.3333333333333335,2.1666666666666665,2.1666666666666665
INV-157,Mujer,18,RM,No,Trabajo Social,1°,4.4,60,No,0,Beca excelencia,Sí,Desplazado/a,No,3,31,Sí,3,2,1,2,3,4,4,4,2,2,2,2,2,2,2,2,2.875,2,2.4375,3,3,3,2,3,3,3,2,2,3,3,4,4,2,2.857142857142857,2.857142857142857,2.857142857142857,2,2,3,2,1,3,1,1,2,3,2,1,2.1666666666666665,1.6666666666666667,1.9166666666666667,1,1,3,2,3,2,2,2,3,2,3,3,2,3,2,1,3,1,2,2.5,2,2.1666666666666665
INV-158,Hombre,19,Región norte,No,Psicología,4°,3.1,44,Sí,25,Gratuidad,No,Local,No,1,10,No,1,2,2,2,2,2,2,4,3,3,2,3,4,2,4,3,2.125,3,2.5625,3,2,3,2,2,2,2,2,2,2,2,1,2,2,2.2857142857142856,1.8571428571428572,2.0714285714285716,2,2,3,3,3,1,2,2,2,2,3,3,2.3333333333333335,2.3333333333333335,2.3333333333333335,1,1,2,1,2,1,3,3,2,2,4,2,1,2,2,2,2,2,1.3333333333333333,2.6666666666666665,1.8333333333333333,1.9444444444444444
INV-159,Mujer,23,Región norte,Sí,Educación,5°,6.4,33,No,0,Otra beca,Sí,Desplazado/a,No,3,23,Sí,3,3,3,2,3,3,3,4,2,3,3,2,3,3,2,3,3,2.625,2.8125,4,3,2,4,3,2,3,4,3,4,4,4,2,4,3,3.5714285714285716,3.2857142857142856,1,3,3,3,4,3,2,2,2,3,1,1,2.8333333333333335,1.8333333333333333,2.3333333333333335,2,3,4,3,4,4,2,1,2,2,2,3,2,2,1,3,2,2,3.3333333333333335,2,2,2.4444444444444446
INV-160,Hombre,24,Región centro,No,Trabajo Social,3°,5.2,38,No,0,Sin beca,Sí,Desplazado/a,No,3,22,Sí,3,3,2,4,2,3,2,2,2,2,4,2,4,2,4,2,2.625,2.75,2.6875,3,2,2,2,3,2,2,3,2,3,2,3,3,3,2.2857142857142856,2.7142857142857144,2.5,2,3,2,2,4,4,2,2,3,2,2,2,2.8333333333333335,2.1666666666666665,2.5,2,2,2,3,2,2,2,2,3,3,3,2,1,3,2,4,2,3,2.1666666666666665,2.5,2.5,2.388888888888889
INV-161,Mujer,23,Región centro,No,Psicología,1°,4,44,Sí,19,Otra beca,Sí,Local,No,3,15,Sí,2,3,1,3,1,1,1,2,1,1,1,2,1,1,2,3,1.75,1.5,1.625,2,2,3,2,2,2,3,3,2,2,4,3,3,4,2.2857142857142856,3,2.642857142857143,4,3,4,3,3,1,3,3,3,2,3,3,3,2.8333333333333335,2.9166666666666665,3,1,1,1,2,3,3,3,2,3,2,3,2,1,1,1,1,1,1.8333333333333333,2.6666666666666665,1.1666666666666667,1.8888888888888888
INV-162,Hombre,19,Región sur,No,Educación,1°,5.7,49,No,0,Otra beca,Sí,Local,No,5,4,No,2,2,3,4,3,3,2,3,2,1,1,1,3,2,2,3,2.75,1.875,2.3125,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,3.4285714285714284,3.7142857142857144,2,2,2,2,1,2,2,1,2,1,3,2,1.8333333333333333,1.8333333333333333,1.8333333333333333,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3.6666666666666665,3.8333333333333335,4,3.8333333333333335
INV-163,Hombre,17,Región centro,Sí,Psicología,2°,5.5,33,No,0,Sin beca,Sí,Desplazado/a,No,4,35,Sí,1,2,2,1,2,1,3,2,3,3,3,3,2,3,4,2,1.75,2.875,2.3125,3,3,4,4,3,3,4,3,3,3,3,3,3,4,3.4285714285714284,3.142857142857143,3.2857142857142856,1,2,1,1,1,1,2,1,2,1,3,2,1.1666666666666667,1.8333333333333333,1.5,3,3,3,4,2,2,4,4,3,3,3,2,4,4,4,3,4,4,2.8333333333333335,3.1666666666666665,3.8333333333333335,3.2777777777777777
INV-164,Mujer,18,Región centro,Sí,Educación,2°,4.3,30,No,0,Gratuidad,Sí,Local,Sí,2,22,No,3,1,1,1,2,2,1,2,2,2,3,3,2,2,3,1,1.625,2.25,1.9375,1,2,3,2,3,2,2,2,2,2,3,2,2,4,2.142857142857143,2.4285714285714284,2.2857142857142856,4,3,4,3,4,3,4,3,2,2,2,2,3.5,2.5,3,3,2,3,2,2,2,2,1,1,2,1,2,3,3,3,3,3,4,2.3333333333333335,1.5,3.1666666666666665,2.3333333333333335
INV-165,Hombre,21,Región centro,No,Enfermería,5°,3.7,33,No,0,Otra beca,No,Desplazado/a,No,4,30,No,2,3,2,2,1,2,3,3,2,2,2,3,1,2,2,3,2.25,2.125,2.1875,4,3,4,4,3,3,3,2,2,2,3,2,3,3,3.4285714285714284,2.4285714285714284,2.9285714285714284,2,2,1,1,1,4,2,3,2,3,2,2,1.8333333333333333,2.3333333333333335,2.0833333333333335,2,2,2,2,3,2,4,2,2,4,2,2,3,3,2,4,4,1,2.1666666666666665,2.6666666666666665,2.8333333333333335,2.5555555555555554
INV-166,Mujer,27,Región centro,Sí,Trabajo Social,3°,5.7,52,No,0,Gratuidad,No,Desplazado/a,Sí,4,25,No,2,1,1,1,1,1,1,2,3,2,1,3,3,2,1,3,1.25,2.25,1.75,2,3,3,2,3,2,2,2,3,2,3,2,3,2,2.4285714285714284,2.4285714285714284,2.4285714285714284,4,3,3,2,3,2,3,3,2,2,3,3,2.8333333333333335,2.6666666666666665,2.75,2,2,2,2,3,1,3,2,2,2,2,2,2,3,2,2,1,2,2,2.1666666666666665,2,2.0555555555555554
INV-167,Mujer,17,RM,Sí,Enfermería,1°,6.9,29,No,0,Sin beca,Sí,Desplazado/a,No,4,40,Sí,4,4,3,4,4,4,3,2,4,2,3,2,3,3,3,1,3.5,2.625,3.0625,4,3,4,4,4,4,4,4,3,2,4,4,3,4,3.857142857142857,3.4285714285714284,3.642857142857143,2,2,3,2,2,3,2,3,4,4,1,2,2.3333333333333335,2.6666666666666665,2.5,2,4,3,3,2,4,4,3,4,3,2,4,4,4,2,4,2,3,3,3.3333333333333335,3.1666666666666665,3.1666666666666665
INV-168,Mujer,22,Región norte,No,Educación,1°,6,50,Sí,14,Sin beca,Sí,Local,No,3,26,No,2,2,1,1,3,2,1,4,3,2,2,1,2,1,3,1,2,1.875,1.9375,3,2,3,3,4,2,3,1,2,2,2,3,3,2,2.857142857142857,2.142857142857143,2.5,2,4,3,2,2,2,1,3,3,2,2,3,2.5,2.3333333333333335,2.4166666666666665,2,1,1,1,2,1,2,2,1,1,1,4,3,3,2,3,4,3,1.3333333333333333,1.8333333333333333,3,2.0555555555555554
INV-169,Hombre,23,RM,No,Educación,1°,6.4,45,No,0,Sin beca,No,Local,Sí,4,29,Sí,4,3,4,2,2,3,2,2,1,2,3,3,3,3,2,2,2.75,2.375,2.5625,2,2,2,3,2,3,2,1,3,1,2,2,2,2,2.2857142857142856,1.8571428571428572,2.0714285714285716,3,2,1,2,3,4,2,2,1,2,1,2,2.5,1.6666666666666667,2.0833333333333335,4,4,3,4,4,3,4,4,4,4,3,3,2,3,2,2,3,3,3.6666666666666665,3.6666666666666665,2.5,3.2777777777777777
INV-170,Hombre,24,Región sur,Sí,Enfermería,4°,3.5,33,No,0,Otra beca,Sí,Desplazado/a,No,1,9,No,2,1,2,1,3,3,2,3,4,2,2,4,3,4,3,2,2.125,3,2.5625,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1.8571428571428572,1.7142857142857142,1.7857142857142858,3,4,4,3,3,4,3,2,3,3,3,1,3.5,2.5,3,2,2,4,3,3,3,2,2,2,3,2,2,2,2,2,2,1,2,2.8333333333333335,2.1666666666666665,1.8333333333333333,2.2777777777777777
INV-171,Hombre,17,RM,Sí,Educación,2°,4.5,41,Sí,26,Sin beca,Sí,Local,No,3,25,Sí,2,2,3,2,1,1,1,1,3,2,3,3,2,1,2,2,1.625,2.25,1.9375,2,2,3,2,2,3,3,2,3,1,1,1,3,2,2.4285714285714284,1.8571428571428572,2.142857142857143,3,3,2,2,2,3,3,2,2,3,2,1,2.5,2.1666666666666665,2.3333333333333335,3,3,2,3,3,3,4,3,3,3,3,1,2,2,2,2,3,3,2.8333333333333335,2.8333333333333335,2.3333333333333335,2.6666666666666665
