id,sexo,edad,nivel_educacional,estado_civil,n_hijos,region,tipo_organizacion,anos_residencia,tipo_zona,nivel_ses,acceso_servicios_basicos,victima_delito_anio,confianza_carabineros,confianza_municipio,anos_en_organizacion,cargo_directivo,actividad_laboral,migrante,acceso_areas_verdes,esc_i01,esc_i02,esc_i03,esc_i04,esc_i05,esc_i06,esc_i07,esc_i08,esc_i09,esc_i10,esc_i11,esc_i12,esc_i13,esc_i14,esc_i15,esc_i16,esc_pertenencia,esc_influencia,esc_total,ecs_i01,ecs_i02,ecs_i03,ecs_i04,ecs_i05,ecs_i06,ecs_i07,ecs_i08,ecs_i09,ecs_i10,ecs_i11,ecs_i12,ecs_i13,ecs_i14,ecs_i15,ecs_i16,ecs_i17,ecs_i18,ecs_redes_apoyo,ecs_confianza,ecs_normas_reciprocidad,ecs_total,ebc_i01,ebc_i02,ebc_i03,ebc_i04,ebc_i05,ebc_i06,ebc_i07,ebc_i08,ebc_i09,ebc_i10,ebc_i11,ebc_i12,ebc_i13,ebc_i14,ebc_satisfaccion_barrio,ebc_cohesion,ebc_total,cps_i01,cps_i02,cps_i03,cps_i04,cps_i05,cps_i06,cps_i07,cps_i08,cps_i09,cps_i10,cps_i11,cps_i12,cps_formal,cps_informal,cps_total
SC-118,Hombre,62,Universitario,Casado/a,3,Valparaíso,Voluntariado,6,Urbano,Medio,Sí,No,4,3,9,Sí,Desempleado/a,No,Sí,2,3,2,2,3,2,3,2,2,3,3,3,4,2,4,2,2.375,2.875,2.625,2,3,2,2,3,2,3,3,3,3,3,4,2,2,1,2,2,2,2.3333333333333335,3.1666666666666665,1.8333333333333333,2.4444444444444446,4,3,4,1,3,3,2,1,3,3,4,3,2,3,2.857142857142857,2.7142857142857144,2.7857142857142856,4,4,4,4,3,4,4,4,2,3,4,3,3.8333333333333335,3.3333333333333335,3.5833333333333335
SC-119,Mujer,37,Básica,Viudo/a,5,RM,Voluntariado,46,Semi-rural,Bajo,No,No,2,4,5,Sí,Labores hogar,Sí,Sí,2,2,3,3,2,4,2,3,3,3,3,3,3,1,3,3,2.625,2.75,2.6875,4,4,4,4,4,3,3,4,4,3,3,2,2,2,3,3,3,2,3.8333333333333335,3.1666666666666665,2.5,3.1666666666666665,2,3,4,3,2,4,3,3,2,3,4,2,3,3,3,2.857142857142857,2.9285714285714284,3,4,4,3,3,2,2,2,3,3,2,3,3.1666666666666665,2.5,2.8333333333333335
SC-120,Mujer,46,Media,Separado/a,0,RM,Junta vecinos,2,Rural,Medio,No,Sí,4,2,2,No,Labores hogar,No,No,3,4,3,3,3,3,3,4,4,3,3,3,4,3,4,3,3.25,3.375,3.3125,4,4,3,4,2,3,4,3,3,3,3,3,3,3,3,2,3,2,3.3333333333333335,3.1666666666666665,2.6666666666666665,3.0555555555555554,2,2,3,2,2,2,3,3,3,2,1,2,3,3,2.2857142857142856,2.4285714285714284,2.357142857142857,3,2,4,2,1,3,3,3,3,1,2,3,2.5,2.5,2.5
SC-121,Hombre,35,Media,Viudo/a,2,RM,Junta vecinos,24,Urbano,Medio,No,Sí,1,3,2,Sí,Labores hogar,No,Sí,3,2,4,3,2,3,3,3,2,4,3,2,3,2,2,2,2.875,2.5,2.6875,2,3,3,2,3,3,4,2,2,3,3,1,3,2,3,3,3,3,2.6666666666666665,2.5,2.8333333333333335,2.6666666666666665,2,1,2,3,3,2,2,3,2,3,3,2,3,3,2.142857142857143,2.7142857142857144,2.4285714285714284,1,3,2,3,3,2,3,4,4,3,3,3,2.3333333333333335,3.3333333333333335,2.8333333333333335
SC-122,Mujer,34,Postgrado,Casado/a,1,O'Higgins,Club deportivo,24,Urbano,Bajo,Sí,No,2,2,27,No,Desempleado/a,Sí,Sí,3,4,2,2,2,3,3,1,3,4,4,3,3,3,3,3,2.5,3.25,2.875,3,2,2,2,2,3,1,2,1,2,1,1,2,2,3,2,2,2,2.3333333333333335,1.3333333333333333,2.1666666666666665,1.9444444444444444,3,2,3,4,3,3,3,4,3,2,3,3,3,2,3,2.857142857142857,2.9285714285714284,1,2,3,2,2,2,2,3,2,2,2,1,2,2,2
SC-123,Hombre,60,Básica,Soltero/a,6,RM,Club deportivo,5,Urbano,Bajo,Sí,No,4,1,16,Sí,Empleado/a,Sí,No,2,3,2,2,3,3,4,2,1,3,3,4,2,2,3,3,2.625,2.625,2.625,3,3,3,3,3,3,3,4,3,3,3,3,3,2,4,3,2,3,3,3.1666666666666665,2.8333333333333335,3,3,4,4,3,3,4,4,3,3,3,4,3,2,2,3.5714285714285716,2.857142857142857,3.2142857142857144,3,3,2,4,3,2,3,2,3,2,2,2,2.8333333333333335,2.3333333333333335,2.5833333333333335
SC-124,Mujer,55,Media,Separado/a,3,Otra,Junta vecinos,1,Urbano,Bajo,Sí,No,1,2,13,No,Jubilado/a,No,No,2,2,2,1,2,1,2,3,2,1,2,1,1,2,2,3,1.875,1.75,1.8125,2,3,1,2,3,1,2,3,2,2,2,3,4,3,3,3,3,4,2,2.3333333333333335,3.3333333333333335,2.5555555555555554,1,3,2,1,2,2,1,2,2,1,2,2,1,2,1.7142857142857142,1.7142857142857142,1.7142857142857142,2,1,2,3,2,4,1,2,2,2,2,3,2.3333333333333335,2,2.1666666666666665
SC-125,Hombre,41,Básica,Conviviente,3,RM,Voluntariado,6,Urbano,Medio,No,No,2,1,2,No,Empleado/a,No,Sí,2,2,2,2,2,3,2,3,2,3,2,2,3,2,3,2,2.25,2.375,2.3125,3,2,2,2,2,1,2,2,2,3,2,3,2,3,3,3,2,4,2,2.3333333333333335,2.8333333333333335,2.388888888888889,3,2,2,2,2,3,2,1,1,2,3,2,2,2,2.2857142857142856,1.8571428571428572,2.0714285714285716,1,2,2,2,1,2,3,2,3,3,2,2,1.6666666666666667,2.5,2.0833333333333335
SC-126,Mujer,38,Básica,Soltero/a,1,RM,Junta vecinos,21,Urbano,Bajo,No,No,4,2,21,No,Empleado/a,Sí,No,2,2,3,3,2,2,2,3,2,4,2,2,4,4,2,3,2.375,2.875,2.625,1,3,2,2,2,2,3,2,2,2,2,4,2,1,2,2,1,2,2,2.5,1.6666666666666667,2.0555555555555554,4,3,3,1,3,3,3,2,2,1,1,1,1,3,2.857142857142857,1.5714285714285714,2.2142857142857144,2,1,3,1,3,3,4,3,3,3,3,4,2.1666666666666665,3.3333333333333335,2.75
SC-127,Mujer,47,Técnico,Casado/a,2,RM,Voluntariado,4,Urbano,Bajo,No,No,5,2,11,No,Labores hogar,No,Sí,3,3,2,3,3,3,2,3,2,2,3,3,3,3,4,3,2.75,2.875,2.8125,2,2,3,3,4,2,3,3,3,3,3,2,2,3,2,2,2,2,2.6666666666666665,2.8333333333333335,2.1666666666666665,2.5555555555555554,2,2,2,2,1,2,2,3,3,3,3,2,2,2,1.8571428571428572,2.5714285714285716,2.2142857142857144,2,2,2,2,2,3,2,2,2,2,3,2,2.1666666666666665,2.1666666666666665,2.1666666666666665
SC-128,Mujer,68,Media,Viudo/a,1,RM,Cooperativa,2,Urbano,Medio,No,No,2,2,3,No,Empleado/a,No,No,1,1,1,2,2,2,1,3,3,2,4,3,2,3,3,3,1.625,2.875,2.25,2,3,3,4,2,2,2,2,3,3,3,4,4,3,2,4,4,3,2.6666666666666665,2.8333333333333335,3.3333333333333335,2.9444444444444446,3,3,2,2,3,3,2,3,2,2,2,2,2,3,2.5714285714285716,2.2857142857142856,2.4285714285714284,4,2,3,2,3,2,2,2,2,3,2,4,2.6666666666666665,2.5,2.5833333333333335
SC-129,Hombre,49,Universitario,Casado/a,0,O'Higgins,Org. social,4,Rural,Medio,Sí,No,5,3,4,Sí,Labores hogar,No,Sí,3,3,2,2,3,3,3,3,3,3,2,4,2,4,3,3,2.75,3,2.875,2,4,4,3,2,3,2,3,2,3,2,2,3,4,2,3,2,2,3,2.3333333333333335,2.6666666666666665,2.6666666666666665,4,3,3,3,2,4,3,3,2,3,3,2,2,4,3.142857142857143,2.7142857142857144,2.9285714285714284,3,3,4,4,3,2,1,3,3,2,3,2,3.1666666666666665,2.3333333333333335,2.75
SC-130,Mujer,67,Media,Soltero/a,3,RM,Junta vecinos,14,Urbano,Bajo,No,Sí,4,4,9,No,Desempleado/a,Sí,No,4,2,3,3,4,3,4,3,2,2,3,3,2,4,3,2,3.25,2.625,2.9375,4,3,4,4,2,3,3,4,4,3,3,3,3,3,3,3,2,2,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.111111111111111,3,4,4,4,3,3,3,3,3,3,4,4,3,1,3.4285714285714284,3,3.2142857142857144,4,3,3,3,3,2,4,3,3,3,3,3,3,3.1666666666666665,3.0833333333333335
SC-131,Mujer,29,Media,Casado/a,0,Otra,Junta vecinos,2,Urbano,Bajo,Sí,No,4,4,1,No,Empleado/a,Sí,No,3,3,4,2,4,3,3,4,4,3,2,2,3,3,3,3,3.25,2.875,3.0625,3,3,4,3,2,2,3,3,4,4,4,3,3,2,3,3,3,3,2.8333333333333335,3.5,2.8333333333333335,3.0555555555555554,3,3,4,4,3,4,3,2,3,2,2,3,3,1,3.4285714285714284,2.2857142857142856,2.857142857142857,3,3,3,3,4,1,1,3,3,4,3,3,2.8333333333333335,2.8333333333333335,2.8333333333333335
SC-132,Mujer,69,Básica,Viudo/a,0,RM,Junta vecinos,14,Urbano,Medio,No,No,4,4,1,No,Independiente,Sí,No,3,2,3,4,4,3,3,1,3,3,2,4,3,3,3,4,2.875,3.125,3,4,3,2,4,4,4,4,4,3,3,3,4,2,2,3,3,3,3,3.5,3.5,2.6666666666666665,3.2222222222222223,2,2,3,2,3,2,3,2,3,2,2,2,2,2,2.4285714285714284,2.142857142857143,2.2857142857142856,1,2,2,3,4,3,4,1,2,2,2,3,2.5,2.3333333333333335,2.4166666666666665
SC-133,Hombre,43,Básica,Conviviente,3,RM,Cooperativa,32,Urbano,Alto,No,Sí,2,2,1,No,Independiente,No,Sí,2,2,2,4,3,4,4,3,2,2,2,2,2,2,1,2,3,1.875,2.4375,3,4,3,2,4,3,3,4,2,2,3,2,2,4,2,2,2,3,3.1666666666666665,2.6666666666666665,2.5,2.7777777777777777,3,3,4,3,3,3,4,4,3,2,4,3,2,3,3.2857142857142856,3,3.142857142857143,4,4,3,4,4,2,4,4,4,3,4,3,3.5,3.6666666666666665,3.5833333333333335
SC-134,Hombre,20,Técnico,Casado/a,2,Maule,Junta vecinos,15,Urbano,Bajo,No,No,3,3,2,No,Empleado/a,No,Sí,3,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3.125,3.75,3.4375,3,3,3,2,3,3,3,4,4,3,3,4,4,4,4,2,2,3,2.8333333333333335,3.5,3.1666666666666665,3.1666666666666665,2,3,2,3,3,3,3,2,2,2,2,2,3,4,2.7142857142857144,2.4285714285714284,2.5714285714285716,4,4,4,4,4,3,3,4,3,4,3,4,3.8333333333333335,3.5,3.6666666666666665
SC-135,Hombre,80,Básica,Casado/a,4,O'Higgins,Cooperativa,7,Urbano,Medio,No,No,2,3,9,No,Independiente,No,No,2,2,2,2,3,1,2,2,2,3,3,3,3,3,4,2,2,2.875,2.4375,3,4,4,3,4,3,3,3,4,3,3,4,4,3,4,4,3,4,3.5,3.3333333333333335,3.6666666666666665,3.5,4,4,4,4,3,4,3,4,2,4,4,4,3,4,3.7142857142857144,3.5714285714285716,3.642857142857143,1,2,3,3,2,2,2,1,1,2,1,1,2.1666666666666665,1.3333333333333333,1.75
SC-136,Mujer,48,Media,Separado/a,2,RM,Voluntariado,NA,Semi-rural,Bajo,Sí,No,3,3,7,No,Independiente,No,No,4,3,3,3,2,3,3,2,3,2,3,3,3,4,4,2,2.875,3,2.9375,3,2,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,2.8333333333333335,3.8333333333333335,4,3.5555555555555554,3,2,3,2,3,2,4,2,4,3,1,3,3,4,2.7142857142857144,2.857142857142857,2.7857142857142856,3,2,3,2,3,3,1,1,2,2,1,1,2.6666666666666665,1.3333333333333333,2
SC-137,Hombre,31,Básica,Casado/a,3,RM,Junta vecinos,2,Urbano,Medio,Sí,No,3,1,2,Sí,Empleado/a,No,Sí,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,4,2.25,2.375,2.3125,3,2,2,3,4,4,2,2,2,3,2,3,3,4,4,4,3,4,3,2.3333333333333335,3.6666666666666665,3,3,4,3,4,3,4,2,3,3,2,2,2,3,3,3.2857142857142856,2.5714285714285716,2.9285714285714284,4,3,3,3,3,2,2,3,3,3,2,2,3,2.5,2.75
SC-138,Hombre,41,Técnico,Conviviente,1,O'Higgins,Junta vecinos,3,Urbano,Medio,No,No,3,3,5,No,Empleado/a,No,Sí,3,3,3,2,2,3,2,3,2,2,2,2,3,2,2,3,2.625,2.25,2.4375,2,2,2,2,2,3,3,3,2,2,2,4,2,2,2,3,1,3,2.1666666666666665,2.6666666666666665,2.1666666666666665,2.3333333333333335,2,4,3,2,2,3,3,3,2,2,2,2,3,2,2.7142857142857144,2.2857142857142856,2.5,1,2,1,2,1,2,2,2,2,2,2,3,1.5,2.1666666666666665,1.8333333333333333
SC-139,Hombre,60,Media,Soltero/a,2,O'Higgins,Club deportivo,43,Urbano,Bajo,Sí,No,2,2,1,No,Labores hogar,No,Sí,3,2,2,2,1,2,3,2,2,2,2,2,3,3,3,3,2.125,2.5,2.3125,3,4,3,2,3,3,2,2,1,1,2,1,2,3,2,2,3,1,3,1.5,2.1666666666666665,2.2222222222222223,2,2,2,3,1,2,3,3,2,2,3,3,3,3,2.142857142857143,2.7142857142857144,2.4285714285714284,2,4,2,2,3,4,2,3,3,3,3,4,2.8333333333333335,3,2.9166666666666665
SC-140,Hombre,24,Universitario,Casado/a,6,Maule,Org. social,8,Urbano,Alto,Sí,No,1,5,23,Sí,Desempleado/a,No,Sí,3,3,4,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2.875,2.9375,2,2,2,3,4,4,3,2,2,3,3,3,3,2,3,2,3,2,2.8333333333333335,2.6666666666666665,2.5,2.6666666666666665,3,4,3,2,3,3,3,4,2,4,4,4,4,3,3,3.5714285714285716,3.2857142857142856,4,1,4,2,3,2,2,3,2,3,3,2,2.6666666666666665,2.5,2.5833333333333335
SC-141,Mujer,49,Técnico,Conviviente,3,Maule,Voluntariado,8,Semi-rural,Medio,Sí,No,3,4,20,Sí,Jubilado/a,No,Sí,3,4,3,3,3,4,3,4,1,2,2,3,4,2,3,2,3.375,2.375,2.875,3,4,3,4,4,4,4,3,2,4,4,4,2,3,3,3,3,2,3.6666666666666665,3.5,2.6666666666666665,3.2777777777777777,2,3,3,3,2,2,3,2,3,2,4,3,3,3,2.5714285714285716,2.857142857142857,2.7142857142857144,3,3,4,3,3,2,2,3,4,4,3,2,3,3,3
SC-142,Hombre,57,Media,Casado/a,1,Valparaíso,Org. social,7,Urbano,Medio,No,No,4,4,7,Sí,Independiente,No,Sí,3,4,2,3,4,4,3,3,3,3,3,3,4,3,2,2,3.25,2.875,3.0625,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3.3333333333333335,3.7777777777777777,3,2,2,4,3,3,2,2,3,2,2,3,2,2,2.7142857142857144,2.2857142857142856,2.5,2,2,2,3,2,3,4,2,3,2,3,3,2.3333333333333335,2.8333333333333335,2.5833333333333335
SC-143,Mujer,65,Media,Casado/a,6,RM,Club deportivo,5,Urbano,Medio,No,Sí,2,2,4,No,Empleado/a,No,No,2,2,2,2,2,3,2,3,1,2,1,3,2,2,2,4,2.25,2.125,2.1875,4,3,4,4,3,3,4,4,4,3,4,3,2,3,2,2,3,2,3.5,3.6666666666666665,2.3333333333333335,3.1666666666666665,3,2,3,2,3,4,2,2,2,2,1,2,2,3,2.7142857142857144,2,2.357142857142857,3,4,3,2,2,3,4,3,3,2,4,3,2.8333333333333335,3.1666666666666665,3
SC-144,Mujer,42,Básica,Separado/a,0,O'Higgins,Junta vecinos,16,Semi-rural,Bajo,Sí,No,4,4,9,Sí,Empleado/a,No,Sí,3,3,3,3,3,3,3,2,2,3,3,4,2,3,3,3,2.875,2.875,2.875,1,2,3,2,2,2,3,3,2,4,3,4,3,2,3,2,4,2,2,3.1666666666666665,2.6666666666666665,2.611111111111111,2,3,4,3,2,4,2,3,3,3,3,4,3,3,2.857142857142857,3.142857142857143,3,2,2,3,2,2,1,2,3,2,3,2,4,2,2.6666666666666665,2.3333333333333335
SC-145,Mujer,48,Media,Casado/a,2,RM,Junta vecinos,10,Urbano,Medio,No,No,2,3,8,No,Empleado/a,No,No,3,2,1,2,2,2,1,3,2,2,2,3,2,2,1,3,2,2.125,2.0625,1,2,2,1,2,1,4,2,2,2,2,2,3,3,2,2,1,3,1.5,2.3333333333333335,2.3333333333333335,2.0555555555555554,4,3,4,3,4,4,4,3,4,4,2,4,3,2,3.7142857142857144,3.142857142857143,3.4285714285714284,3,3,2,3,3,2,2,1,1,1,2,1,2.6666666666666665,1.3333333333333333,2
SC-146,Mujer,51,Básica,Casado/a,0,Otra,Org. social,37,Urbano,Medio,Sí,No,2,2,4,No,Independiente,No,Sí,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,1.375,1.875,1.625,4,1,2,3,3,2,2,2,2,3,2,1,3,2,3,2,2,3,2.5,2,2.5,2.3333333333333335,2,2,2,2,3,3,1,2,2,2,2,2,2,2,2.142857142857143,2,2.0714285714285716,2,2,2,2,3,2,2,2,3,2,2,2,2.1666666666666665,2.1666666666666665,2.1666666666666665
SC-147,Hombre,40,Técnico,Viudo/a,4,RM,Junta vecinos,15,Urbano,Alto,No,Sí,4,4,1,Sí,Jubilado/a,No,Sí,3,3,2,3,3,2,2,3,4,4,3,4,4,3,3,4,2.625,3.625,3.125,4,4,4,4,4,4,3,4,4,2,4,3,3,4,4,4,4,4,4,3.3333333333333335,3.8333333333333335,3.7222222222222223,3,3,3,2,2,2,2,2,2,3,1,2,2,4,2.4285714285714284,2.2857142857142856,2.357142857142857,3,3,4,2,2,2,4,3,3,3,4,4,2.6666666666666665,3.5,3.0833333333333335
SC-148,Mujer,50,Técnico,Conviviente,2,Valparaíso,Junta vecinos,1,Urbano,Bajo,No,No,4,2,9,No,Empleado/a,No,Sí,1,3,3,3,2,3,2,3,2,2,2,2,2,1,3,1,2.5,1.875,2.1875,2,1,1,2,2,1,3,2,2,3,2,4,3,2,3,2,3,2,1.5,2.6666666666666665,2.5,2.2222222222222223,3,3,2,3,2,2,4,2,4,2,3,2,2,2,2.7142857142857144,2.4285714285714284,2.5714285714285716,2,4,3,1,2,2,4,2,3,2,2,3,2.3333333333333335,2.6666666666666665,2.5
SC-149,Mujer,22,Básica,Viudo/a,0,RM,Voluntariado,11,Urbano,Bajo,No,No,3,2,1,Sí,Labores hogar,No,No,3,4,3,2,3,2,3,2,3,2,2,2,3,2,2,4,2.75,2.5,2.625,3,2,2,2,3,2,3,2,2,2,2,2,2,3,3,2,3,2,2.3333333333333335,2.1666666666666665,2.5,2.3333333333333335,3,4,4,2,3,4,3,2,3,2,2,2,1,3,3.2857142857142856,2.142857142857143,2.7142857142857144,3,2,3,2,2,3,3,2,2,2,3,3,2.5,2.5,2.5
SC-150,Mujer,48,Media,Casado/a,2,Maule,Club deportivo,2,Urbano,Bajo,No,Sí,1,2,25,No,Independiente,No,No,3,3,2,2,3,2,2,2,3,2,2,3,1,2,2,2,2.375,2.125,2.25,2,2,2,3,3,4,1,1,3,1,1,3,2,1,3,2,2,2,2.6666666666666665,1.6666666666666667,2,2.111111111111111,2,3,2,3,3,2,2,2,2,1,1,2,2,2,2.4285714285714284,1.7142857142857142,2.0714285714285716,3,3,2,3,3,2,2,2,2,2,2,2,2.6666666666666665,2,2.3333333333333335
SC-151,Mujer,52,Media,Casado/a,3,RM,Junta vecinos,6,Urbano,Medio,Sí,Sí,1,3,11,Sí,Empleado/a,No,Sí,3,2,4,3,3,4,3,3,2,2,2,2,2,2,3,2,3.125,2.125,2.625,3,3,3,3,3,2,3,3,2,2,2,2,4,3,4,2,3,3,2.8333333333333335,2.3333333333333335,3.1666666666666665,2.7777777777777777,4,4,4,3,4,3,4,4,4,4,3,4,3,3,3.7142857142857144,3.5714285714285716,3.642857142857143,3,2,3,2,3,1,3,2,3,2,2,2,2.3333333333333335,2.3333333333333335,2.3333333333333335
SC-152,Hombre,43,Básica,Separado/a,2,RM,Junta vecinos,5,Urbano,Alto,No,No,4,NA,3,No,Empleado/a,No,Sí,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,2,3.75,2.75,3.25,3,3,3,3,3,3,3,4,3,4,3,3,2,3,4,3,4,3,3,3.3333333333333335,3.1666666666666665,3.1666666666666665,4,3,3,3,3,3,3,2,2,3,3,3,2,3,3.142857142857143,2.5714285714285716,2.857142857142857,4,4,4,4,4,2,2,2,3,3,4,3,3.6666666666666665,2.8333333333333335,3.25
SC-153,Mujer,44,Media,Casado/a,3,RM,Junta vecinos,1,Rural,Medio,Sí,No,2,3,5,No,Jubilado/a,No,Sí,2,3,3,3,4,3,3,4,2,2,2,2,2,1,2,3,3.125,2,2.5625,2,2,2,3,3,2,3,3,2,2,2,4,2,2,1,2,1,2,2.3333333333333335,2.6666666666666665,1.6666666666666667,2.2222222222222223,4,2,3,4,2,2,3,3,4,2,3,4,4,2,2.857142857142857,3.142857142857143,3,2,1,2,2,1,3,2,1,1,2,2,2,1.8333333333333333,1.6666666666666667,1.75
SC-154,Mujer,18,Básica,Soltero/a,4,RM,Club deportivo,3,Urbano,Alto,No,Sí,3,3,1,No,Independiente,No,No,3,2,3,2,3,2,2,3,3,3,4,4,3,3,3,2,2.5,3.125,2.8125,4,2,2,2,3,3,4,4,2,3,3,2,2,2,3,3,4,3,2.6666666666666665,3,2.8333333333333335,2.8333333333333335,3,3,3,3,3,3,3,3,3,3,4,3,3,1,3,2.857142857142857,2.9285714285714284,4,3,2,3,4,1,3,2,3,3,3,3,2.8333333333333335,2.8333333333333335,2.8333333333333335
SC-155,Mujer,27,Media,Separado/a,3,RM,Club deportivo,6,Urbano,Medio,No,No,3,3,37,No,Independiente,No,Sí,3,3,3,4,3,4,4,3,4,4,3,4,4,4,4,4,3.375,3.875,3.625,3,2,4,3,3,3,3,3,3,2,2,2,4,4,3,3,4,4,3,2.5,3.6666666666666665,3.0555555555555554,3,3,4,3,4,3,3,4,4,4,4,3,4,2,3.2857142857142856,3.5714285714285716,3.4285714285714284,2,2,2,2,3,1,2,3,3,3,3,2,2,2.6666666666666665,2.3333333333333335
SC-156,Mujer,57,Básica,Viudo/a,2,Maule,Voluntariado,10,Rural,Bajo,Sí,No,3,4,8,No,Desempleado/a,No,No,2,2,3,3,3,3,3,2,3,3,1,4,4,4,3,3,2.625,3.125,2.875,4,3,3,4,3,3,2,4,4,2,3,2,2,3,3,2,3,1,3.3333333333333335,2.8333333333333335,2.3333333333333335,2.8333333333333335,2,3,2,3,2,3,3,2,1,1,1,1,3,2,2.5714285714285716,1.5714285714285714,2.0714285714285716,4,3,3,4,3,4,4,3,4,3,4,3,3.5,3.5,3.5
SC-157,Hombre,72,Media,Separado/a,2,RM,Org. social,2,Urbano,Medio,Sí,Sí,2,1,5,No,Independiente,No,Sí,3,3,3,2,1,2,3,4,3,2,2,2,3,3,3,3,2.625,2.625,2.625,1,2,2,1,2,2,2,1,2,1,1,2,3,2,2,2,2,2,1.6666666666666667,1.5,2.1666666666666665,1.7777777777777777,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2.4285714285714284,2.142857142857143,2.2857142857142856,2,2,2,1,3,2,2,4,4,4,3,4,2,3.5,2.75
SC-158,Hombre,42,Postgrado,Separado/a,2,RM,Org. social,2,Urbano,Alto,Sí,No,2,3,1,No,Labores hogar,No,Sí,3,4,3,3,2,2,3,2,4,3,3,3,4,4,4,3,2.75,3.5,3.125,3,4,4,4,4,3,4,2,3,4,4,3,3,4,2,4,4,4,3.6666666666666665,3.3333333333333335,3.5,3.5,3,3,2,3,3,2,4,2,3,3,2,4,3,3,2.857142857142857,2.857142857142857,2.857142857142857,3,2,4,3,1,4,2,2,2,2,2,2,2.8333333333333335,2,2.4166666666666665
SC-159,Hombre,64,Media,Conviviente,4,RM,Org. social,NA,Urbano,Alto,Sí,No,4,3,6,No,Labores hogar,Sí,Sí,3,3,3,3,3,2,4,2,4,3,3,3,3,3,4,3,2.875,3.25,3.0625,4,4,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,4,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,2,2,1,2,2,2,1,2,3,2,3,3,2,2,1.7142857142857142,2.4285714285714284,2.0714285714285716,3,2,3,2,3,2,2,2,2,2,2,2,2.5,2,2.25
SC-160,Hombre,57,Básica,Conviviente,2,Valparaíso,Junta vecinos,NA,Semi-rural,Bajo,Sí,No,2,1,6,No,Empleado/a,No,Sí,2,2,2,2,3,3,2,2,3,2,2,1,3,2,1,4,2.25,2.25,2.25,2,1,2,2,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1.8333333333333333,1.1666666666666667,1.3333333333333333,1.4444444444444444,2,3,2,2,3,3,3,2,3,2,3,3,1,2,2.5714285714285716,2.2857142857142856,2.4285714285714284,2,2,3,3,3,4,2,3,3,2,1,3,2.8333333333333335,2.3333333333333335,2.5833333333333335
SC-161,Hombre,67,Media,Conviviente,5,O'Higgins,Org. social,1,Urbano,Bajo,No,No,2,3,29,No,Independiente,No,Sí,3,3,3,4,4,2,4,3,2,2,3,2,2,3,2,3,3.25,2.375,2.8125,3,2,2,2,3,3,3,2,3,2,2,4,3,2,1,2,2,2,2.5,2.6666666666666665,2,2.388888888888889,3,3,2,3,3,4,4,4,2,3,2,2,3,2,3.142857142857143,2.5714285714285716,2.857142857142857,3,3,3,2,4,3,3,2,2,2,2,2,3,2.1666666666666665,2.5833333333333335
SC-162,Mujer,68,Técnico,Soltero/a,3,Maule,Org. social,5,Semi-rural,Bajo,Sí,Sí,2,3,6,No,Independiente,No,No,2,1,1,1,3,2,2,2,3,4,4,2,3,2,2,3,1.75,2.875,2.3125,3,1,3,2,3,2,2,3,3,2,4,2,3,3,2,2,2,2,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.4444444444444446,3,2,1,1,2,4,2,2,2,2,3,1,3,2,2.142857142857143,2.142857142857143,2.142857142857143,3,2,2,2,2,3,2,3,3,3,2,3,2.3333333333333335,2.6666666666666665,2.5
SC-163,Mujer,18,Postgrado,Separado/a,3,RM,Cooperativa,2,Urbano,Medio,Sí,No,3,4,8,Sí,Independiente,Sí,Sí,3,3,3,2,3,2,3,3,4,2,2,3,2,3,2,1,2.75,2.375,2.5625,4,3,3,3,3,3,2,2,2,2,2,4,1,2,2,2,2,2,3.1666666666666665,2.3333333333333335,1.8333333333333333,2.4444444444444446,2,3,3,4,3,3,3,2,3,2,3,4,3,3,3,2.857142857142857,2.9285714285714284,2,3,2,3,3,3,4,2,3,2,4,2,2.6666666666666665,2.8333333333333335,2.75
SC-164,Mujer,63,Media,Casado/a,3,RM,Org. social,1,Urbano,Bajo,Sí,Sí,4,3,NA,Sí,Labores hogar,Sí,Sí,3,3,3,3,3,3,2,4,3,3,2,2,3,1,3,3,3,2.5,2.75,3,3,4,4,4,3,3,2,4,4,3,2,2,2,3,4,3,3,3.5,3,2.8333333333333335,3.111111111111111,2,2,2,2,2,2,3,4,4,4,4,3,3,3,2.142857142857143,3.5714285714285716,2.857142857142857,4,3,4,4,3,4,4,4,4,4,4,3,3.6666666666666665,3.8333333333333335,3.75
